日期,时间段,购电量
2025-03-20,10:00-10:10,45.207083
2025-03-20,12:00-12:10,507.112872
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,376.87942
2025-03-20,18:00-18:10,635.624702
2025-03-20,20:00-20:10,726.368333
2025-03-20,全天购电量,66083.527675
2025-03-20,全天购电费,82516.522954
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,0.0
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,335.614583
2025-06-21,18:00-18:10,580.797039
2025-06-21,20:00-20:10,26.107976
2025-06-21,全天购电量,53636.876611
2025-06-21,全天购电费,32738.233991
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,0.0
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,298.850893
2025-09-23,18:00-18:10,692.89064
2025-09-23,20:00-20:10,811.911667
2025-09-23,全天购电量,65136.426836
2025-09-23,全天购电费,112918.236901
2025-12-21,10:00-10:10,360.307083
2025-12-21,12:00-12:10,763.629286
2025-12-21,14:00-14:10,0.0
2025-12-21,16:00-16:10,625.690015
2025-12-21,18:00-18:10,641.204405
2025-12-21,20:00-20:10,780.268333
2025-12-21,全天购电量,89770.055215
2025-12-21,全天购电费,140251.875743
