充电量,放电量,日期,时间段
1788.843525,885.783781,2025-03-20,0:00-4:00
763.332939,6502.454413,2025-03-20,4:00-8:00
3296.861702,1139.696578,2025-03-20,8:00-12:00
4524.693199,745.840037,2025-03-20,12:00-16:00
0.0,6293.559374,2025-03-20,16:00-20:00
6991.308309,73.334623,2025-03-20,20:00-24:00
8123.306617,,2025-03-20,0:00储电量
8109.825395,,2025-03-20,24:00储电量
0.0,0.0,2025-06-21,0:00-4:00
0.0,4333.400185,2025-06-21,4:00-8:00
2539.93821,1156.596833,2025-06-21,8:00-12:00
3593.419799,30.025189,2025-06-21,12:00-16:00
0.0,3729.647493,2025-06-21,16:00-20:00
7316.501221,2855.203606,2025-06-21,20:00-24:00
10800.0,,2025-06-21,0:00储电量
10800.0,,2025-06-21,24:00储电量
251.422034,426.00513,2025-09-23,0:00-4:00
724.262553,5750.799213,2025-09-23,4:00-8:00
1832.558089,0.0,2025-09-23,8:00-12:00
3913.171545,1559.561908,2025-09-23,12:00-16:00
0.0,3611.594763,2025-09-23,16:00-20:00
6011.231792,0.0,2025-09-23,20:00-24:00
7087.431349,,2025-09-23,0:00储电量
7211.231792,,2025-09-23,24:00储电量
3.783421,1226.46143,2025-12-21,0:00-4:00
672.346229,4064.24972,2025-12-21,4:00-8:00
2887.086424,3957.805535,2025-12-21,8:00-12:00
4751.33482,4010.001997,2025-12-21,12:00-16:00
0.0,2864.577122,2025-12-21,16:00-20:00
6954.428733,95.327217,2025-12-21,20:00-24:00
10800.0,,2025-12-21,0:00储电量
8048.509603,,2025-12-21,24:00储电量
