日期,时间段,购电量
2025-03-20,10:00-10:10,45.207083
2025-03-20,12:00-12:10,0.0
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,680.425162
2025-03-20,18:00-18:10,326.253986
2025-03-20,20:00-20:10,726.368333
2025-03-20,全天购电量,66715.279687
2025-03-20,全天购电费,98382.667311
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,0.0
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,562.897443
2025-06-21,18:00-18:10,759.116343
2025-06-21,20:00-20:10,26.107976
2025-06-21,全天购电量,49190.003577
2025-06-21,全天购电费,27420.020487
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,425.122957
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,749.962464
2025-09-23,18:00-18:10,734.296667
2025-09-23,20:00-20:10,61.911667
2025-09-23,全天购电量,66292.022254
2025-09-23,全天购电费,85643.853828
2025-12-21,10:00-10:10,360.307083
2025-12-21,12:00-12:10,819.858712
2025-12-21,14:00-14:10,0.0
2025-12-21,16:00-16:10,903.528631
2025-12-21,18:00-18:10,641.204405
2025-12-21,20:00-20:10,780.268333
2025-12-21,全天购电量,91932.537134
2025-12-21,全天购电费,156697.488544
