充电量,放电量,日期,时间段
7.752934,1047.564661,2025-03-20,0:00-4:00
723.137543,5837.504773,2025-03-20,4:00-8:00
1251.74883,0.0,2025-03-20,8:00-12:00
7464.648089,362.759942,2025-03-20,12:00-16:00
364.657224,6469.669774,2025-03-20,16:00-20:00
7138.375289,1410.644183,2025-03-20,20:00-24:00
8119.186672,,2025-03-20,0:00储电量
8260.458434,,2025-03-20,24:00储电量
1999.891922,0.0,2025-06-21,0:00-4:00
1370.678325,3252.6122,2025-06-21,4:00-8:00
3503.213641,877.153031,2025-06-21,8:00-12:00
2855.661728,471.065534,2025-06-21,12:00-16:00
0.0,4072.775596,2025-06-21,16:00-20:00
2895.918975,2495.200715,2025-06-21,20:00-24:00
6182.588568,,2025-06-21,0:00储电量
6398.167518,,2025-06-21,24:00储电量
2187.720613,334.181286,2025-09-23,0:00-4:00
1429.162495,3498.759469,2025-09-23,4:00-8:00
1917.294375,3.388967,2025-09-23,8:00-12:00
8313.280566,863.716941,2025-09-23,12:00-16:00
380.341696,5312.117507,2025-09-23,16:00-20:00
883.364808,3500.302048,2025-09-23,20:00-24:00
1841.939952,,2025-09-23,0:00储电量
1939.253154,,2025-09-23,24:00储电量
3.783421,1226.46143,2025-12-21,0:00-4:00
0.0,4432.183422,2025-12-21,4:00-8:00
2480.495243,2984.760227,2025-12-21,8:00-12:00
8624.065059,2713.257984,2025-12-21,12:00-16:00
898.586938,5893.810496,2025-12-21,16:00-20:00
7121.003607,2309.50778,2025-12-21,20:00-24:00
10800.0,,2025-12-21,0:00储电量
8194.621669,,2025-12-21,24:00储电量
