abs_minute,interval_start,spill_kwh,grid_paid_kwh,demand_kwh,soc_start_kwh,soc_end_kwh,charge_kwh,capacity_limited,power_limited
1330,2025-01-01 22:10:00,0.6057666766667956,1384.8989000000001,550.9598,6656.731474998833,7406.731474989832,749.999999991,False,True
1370,2025-01-01 22:50:00,2.40276667666648,1400.0807666666665,564.3446666666666,8848.834124242203,9598.834124233203,749.999999991,False,True
1380,2025-01-01 23:00:00,18.208766676666635,1399.8737666666666,548.3316666666666,9598.834124233203,10348.834124224202,749.999999991,False,True
1390,2025-01-01 23:10:00,104.15886581466928,1234.4968166666667,629.0425333333333,10348.834124224202,10799.999999991,451.16587576679774,True,False
1400,2025-01-01 23:20:00,755.4219666585665,1402.6919666666668,647.27,10799.999999991,10799.999999991,0.0,True,False
1410,2025-01-01 23:30:00,816.1401833252329,1403.6635166666665,587.5233333333333,10799.999999991,10799.999999991,0.0,True,False
1420,2025-01-01 23:40:00,812.6835666585665,1404.9487166666668,592.26515,10799.999999991,10799.999999991,0.0,True,False
1440,2025-01-02 00:00:00,216.59043323776152,885.8044455710957,616.1166666666666,10752.212388891,10799.999999991,47.78761110000086,True,False
2410,2025-01-02 16:10:00,21.860783324332694,1073.0826166666666,1051.2218333333333,10799.99999999,10799.99999999,0.0,True,False
2420,2025-01-02 16:20:00,13.4608499909991,1065.49705,1052.0362,10799.99999999,10799.99999999,0.0,True,False
2430,2025-01-02 16:30:00,7.732283324332689,1047.6122833333334,1039.8799999999999,10799.99999999,10799.99999999,0.0,True,False
2460,2025-01-02 17:00:00,11.884999990999221,1064.8433333333332,1052.9583333333333,10799.99999999,10799.99999999,0.0,True,False
2470,2025-01-02 17:10:00,18.242466657665865,1054.1972166666665,1035.9547499999999,10799.99999999,10799.99999999,0.0,True,False
2480,2025-01-02 17:20:00,5.396266657665798,1028.2455666666665,1022.8493,10799.99999999,10799.99999999,0.0,True,False
2490,2025-01-02 17:30:00,1.1266666576660556,1031.9983333333332,1030.8716666666664,10799.99999999,10799.99999999,0.0,True,False
2500,2025-01-02 17:40:00,31.418916657666024,1077.4177833333333,1045.9988666666666,10799.99999999,10799.99999999,0.0,True,False
2510,2025-01-02 17:50:00,2.4410666576659192,960.6718166666666,958.23075,10799.99999999,10799.99999999,0.0,True,False
2840,2025-01-02 23:20:00,40.44675001000018,1480.6033333333335,606.8232499999999,6217.649573343212,6967.649573333212,749.99999999,False,True
