window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day_partial_0010,2025-01-01,80379.345145,9484.442608,9015.011359,98878.799113,49002.273477,12702.241155,46770.014571,10.429920,108484.959123,,
natural_day,2025-01-02,97079.193157,1446.639023,2517.337193,101043.169373,61831.688593,1751.888929,12770.567992,954.406549,77308.552063,,
natural_day,2025-01-03,91800.089816,2868.397565,0.000000,94668.487381,57828.663237,4822.599455,0.000000,1842.406477,64493.669169,,
natural_day,2025-01-04,75581.085457,2846.185143,0.000000,78427.270601,46221.488238,3990.696935,0.000000,541.712628,50753.897800,,
natural_day,2025-01-05,68829.999227,11299.092276,11701.837159,91830.928661,41170.724874,17361.656464,62492.816790,141.547615,121166.745744,,
natural_day,2025-01-06,77422.537652,8585.188349,9524.849101,95532.575102,46316.264383,13246.003230,49960.665254,651.521759,110174.454626,,
natural_day,2025-01-07,79061.035055,11825.895805,6665.365623,97552.296483,48808.059465,15732.993992,32682.350202,68.167383,97291.571041,,
natural_day,2025-01-08,96287.220148,1749.748805,1684.469635,99721.438589,62460.920592,3156.769563,7941.082402,2418.679704,75977.452261,,
natural_day,2025-01-09,92678.373654,4473.936679,1623.288808,98775.599142,60725.695854,6342.716675,7759.081852,199.631629,75027.126010,,
natural_day,2025-01-10,45508.358910,5289.325068,0.000000,50797.683978,24455.806177,6363.403313,0.000000,1727.958368,32547.167858,,
natural_day,2025-01-11,46419.640420,4256.748416,0.000000,50676.388837,26197.190467,4748.476775,0.000000,249.951483,31195.618725,,
natural_day,2025-01-12,93895.913961,4232.106462,254.856514,98382.876938,61407.286433,6043.991198,1253.766623,281.669993,68986.714246,,
natural_day,2025-01-13,93462.761275,2115.757162,707.634555,96286.152992,61233.726999,3315.554724,3249.659950,306.258610,68105.200284,,
natural_day,2025-01-14,93294.380364,2843.502110,1386.192283,97524.074757,60815.683030,4163.791512,6551.836295,212.479843,71743.790680,,
natural_day,2025-01-15,91268.346931,5376.514950,1137.807916,97782.669796,59261.609210,7309.128411,5284.464796,120.740581,71975.942997,,
natural_day,2025-01-16,90668.648007,3312.898500,1849.536550,95831.083057,58971.872562,4802.731787,8803.859765,177.634017,72756.098131,,
