window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day_partial_0010,2025-01-01,61741.911348,15615.399041,19424.465597,96781.775987,36083.404525,24749.790922,96193.202885,0.000000,157026.398332,,
natural_day,2025-01-02,97105.881931,637.510495,1002.002995,98745.395421,61930.725534,1016.640402,4871.455475,0.000000,67818.821411,,
natural_day,2025-01-03,90872.976036,6552.158742,0.000000,97425.134778,57444.505950,10613.459786,0.000000,2791.091528,70849.057264,,
natural_day,2025-01-04,74170.022650,4179.866139,0.000000,78349.888789,45732.574910,6793.080355,0.000000,1825.434404,54351.089669,,
natural_day,2025-01-05,68113.173059,16198.417482,7419.838821,91731.429363,40602.741046,26415.728291,39465.373102,1189.481341,107673.323780,,
natural_day,2025-01-06,75856.676193,14147.848735,5204.706806,95209.231734,45492.118282,22222.155611,27574.925909,1326.626326,96615.826128,,
natural_day,2025-01-07,78683.554908,15818.297684,2082.585212,96584.437803,49541.014963,23177.006165,12243.619795,1024.957754,85986.598677,,
natural_day,2025-01-08,92397.407703,4685.217782,0.000000,97082.625485,60566.282374,6927.129849,0.000000,1831.927972,69325.340194,,
natural_day,2025-01-09,91249.107210,5249.069595,0.000000,96498.176805,60474.082589,7776.492211,0.000000,1653.582338,69904.157138,,
natural_day,2025-01-10,47218.020903,2536.177147,0.000000,49754.198050,25632.558934,3841.540784,0.000000,1402.721155,30876.820874,,
natural_day,2025-01-11,48032.590206,2061.668406,0.000000,50094.258612,26354.810934,3002.328709,0.000000,990.985479,30348.125122,,
natural_day,2025-01-12,90763.210639,5246.773519,0.000000,96009.984158,59962.352696,7827.714678,0.000000,1656.444873,69446.512247,,
natural_day,2025-01-13,89736.456140,4787.267583,0.000000,94523.723724,59208.962543,6977.495635,0.000000,1890.317515,68076.775692,,
natural_day,2025-01-14,90962.815120,4734.715290,0.000000,95697.530410,59687.993731,6879.585391,0.000000,1872.682904,68440.262026,,
natural_day,2025-01-15,90593.713904,5476.766717,0.000000,96070.480621,59195.455172,8231.309428,0.000000,1946.727953,69373.492553,,
natural_day,2025-01-16,89886.132414,5190.882820,0.000000,95077.015235,58900.165787,7856.074713,0.000000,1940.729178,68696.969679,,
natural_day,2025-01-17,47989.916813,1744.978998,0.000000,49734.895811,26300.906298,2322.265920,0.000000,827.950999,29451.123217,,
natural_day,2025-01-18,48230.448809,2309.582370,0.000000,50540.031179,26167.895478,3468.354096,0.000000,1041.178677,30677.428251,,
natural_day,2025-01-19,88811.727779,5671.296687,0.000000,94483.024466,58136.705967,8448.309452,0.000000,1892.935319,68477.950738,,
natural_day,2025-01-20,88478.087040,5454.630108,0.000000,93932.717148,57837.139314,7394.346854,0.000000,1976.768946,67208.255114,,
natural_day,2025-01-21,90542.761680,789.942223,0.000000,91332.703903,60532.335614,1282.416864,0.000000,392.797582,62207.550060,,
natural_day,2025-01-22,91912.068315,1783.871785,0.000000,93695.940100,61140.695625,2757.650460,0.000000,104.566912,64002.912997,,
natural_day,2025-01-23,92541.531938,2983.396154,0.000000,95524.928093,61134.714240,4265.527430,0.000000,119.647444,65519.889114,,
natural_day,2025-01-24,45954.400520,1515.783529,0.000000,47470.184048,25378.458948,2133.906122,0.000000,464.958984,27977.324053,,
natural_day,2025-01-25,46512.907078,1258.640087,0.000000,47771.547165,25859.132178,1646.042174,0.000000,154.809552,27659.983905,,
natural_day,2025-01-26,91609.019716,1613.371448,0.000000,93222.391164,60705.937703,2759.671952,0.000000,435.005890,63900.615546,,
natural_day,2025-01-27,89234.019223,1477.167921,0.000000,90711.187144,59218.002276,2757.932290,0.000000,212.485157,62188.419723,,
natural_day,2025-01-28,90587.695078,1696.690188,0.000000,92284.385266,59663.728752,2184.351372,0.000000,200.533486,62048.613610,,
natural_day,2025-01-29,88895.101070,396.093290,0.000000,89291.194360,58631.777436,565.710070,0.000000,525.746499,59723.234005,,
natural_day,2025-01-30,88220.973295,2277.781597,0.000000,90498.754892,58205.080362,2216.814992,0.000000,68.106682,60490.002036,,
natural_day,2025-01-31,45085.341657,1052.361205,0.000000,46137.702862,24749.021137,1196.109652,0.000000,31.033000,25976.163789,,
natural_day,2025-02-01,43608.179881,457.752494,0.000000,44065.932376,23848.492343,855.202179,0.000000,490.182923,25193.877445,,
natural_day,2025-02-02,85205.720962,0.000000,0.000000,85205.720962,55603.767531,0.000000,0.000000,1159.681045,56763.448576,,
natural_day,2025-02-03,86408.192485,714.989686,0.000000,87123.182171,55223.904009,966.927897,0.000000,684.663457,56875.495363,,
natural_day,2025-02-04,86318.578005,1425.922044,5.956619,87750.456668,54379.582779,2740.014436,29.303585,923.150640,58072.051440,,
natural_day,2025-02-05,86270.767766,432.411491,157.791582,86860.970839,54398.921538,831.918971,776.151916,174.267573,56181.259998,,
