abs_minute,interval_start,spill_kwh,grid_paid_kwh,demand_kwh,soc_start_kwh,soc_end_kwh,charge_kwh,capacity_limited,power_limited
1330,2025-01-01 22:10:00,0.6057666766667956,1384.8989000000001,550.9598,1949.9612850021113,2699.9612849921114,749.99999999,False,True
1370,2025-01-01 22:50:00,2.4027666766667073,1400.0807666666667,564.3446666666666,4142.063934244482,4892.063934234482,749.99999999,False,True
1380,2025-01-01 23:00:00,18.208766676666635,1399.8737666666666,548.3316666666666,4892.063934234482,5642.063934224482,749.99999999,False,True
1780,2025-01-02 05:40:00,3.045416676666597,1524.76785,688.3891,9824.36782883148,10574.36782882148,749.99999999,False,True
2840,2025-01-02 23:20:00,40.44675001000018,1480.6033333333335,606.8232499999999,6217.670091811075,6967.670091801075,749.99999999,False,True
2890,2025-01-03 00:10:00,103.63155834333348,1429.3567083333335,492.3918166666666,8565.850191765076,9315.850191755075,749.99999999,False,True
2900,2025-01-03 00:20:00,109.2557833433335,1436.0241500000002,493.4350333333333,9315.850191755075,10065.850191746074,749.999999991,False,True
2950,2025-01-03 01:10:00,113.65310827221982,642.4682083333333,483.7801833333333,10759.468574935998,10799.999999991,40.53142505500219,True,False
2960,2025-01-03 01:20:00,125.82151665856631,647.6633499999999,521.8418333333333,10799.999999991,10799.999999991,0.0,True,False
2970,2025-01-03 01:30:00,123.95166665856638,633.4216666666667,509.47,10799.999999991,10799.999999991,0.0,True,False
2980,2025-01-03 01:40:00,132.7763416585664,620.0332083333334,487.25686666666667,10799.999999991,10799.999999991,0.0,True,False
2990,2025-01-03 01:50:00,148.46587499189977,638.5750916666667,490.1092166666666,10799.999999991,10799.999999991,0.0,True,False
3000,2025-01-03 02:00:00,154.75666665856633,662.625,507.86833333333334,10799.999999991,10799.999999991,0.0,True,False
3010,2025-01-03 02:10:00,139.56780832523296,639.6717583333333,500.10395,10799.999999991,10799.999999991,0.0,True,False
3020,2025-01-03 02:20:00,171.29838332523295,648.0529666666666,476.75458333333336,10799.999999991,10799.999999991,0.0,True,False
3030,2025-01-03 02:30:00,224.19999999189972,690.8833333333333,466.6833333333333,10799.999999991,10799.999999991,0.0,True,False
3040,2025-01-03 02:40:00,197.36440832523303,689.5797916666667,492.2153833333333,10799.999999991,10799.999999991,0.0,True,False
3050,2025-01-03 02:50:00,145.1929083252331,672.0272583333334,526.83435,10799.999999991,10799.999999991,0.0,True,False
3060,2025-01-03 03:00:00,119.46916665856631,668.4691666666666,549.0,10799.999999991,10799.999999991,0.0,True,False
3070,2025-01-03 03:10:00,121.74255832523292,679.5317249999999,557.7891666666667,10799.999999991,10799.999999991,0.0,True,False
3080,2025-01-03 03:20:00,124.42386665856631,689.52015,565.0962833333333,10799.999999991,10799.999999991,0.0,True,False
3090,2025-01-03 03:30:00,115.58833332523304,686.6916666666666,571.1033333333332,10799.999999991,10799.999999991,0.0,True,False
3100,2025-01-03 03:40:00,111.69284999189958,674.3395999999999,562.64675,10799.999999991,10799.999999991,0.0,True,False
3110,2025-01-03 03:50:00,148.8026249918996,682.8375583333333,534.0349333333334,10799.999999991,10799.999999991,0.0,True,False
3120,2025-01-03 04:00:00,176.6674999918998,702.5241666666667,525.8566666666666,10799.999999991,10799.999999991,0.0,True,False
3130,2025-01-03 04:10:00,117.36101665856617,695.7517333333332,578.3907166666667,10799.999999991,10799.999999991,0.0,True,False
3140,2025-01-03 04:20:00,135.67854999189976,697.5829833333333,561.9044333333333,10799.999999991,10799.999999991,0.0,True,False
3150,2025-01-03 04:30:00,220.248333325233,711.1783333333333,490.92999999999995,10799.999999991,10799.999999991,0.0,True,False
3160,2025-01-03 04:40:00,190.5246333252331,703.0214500000001,512.4968166666666,10799.999999991,10799.999999991,0.0,True,False
3170,2025-01-03 04:50:00,137.12662499189977,694.2704583333334,557.1438333333333,10799.999999991,10799.999999991,0.0,True,False
3180,2025-01-03 05:00:00,140.81249999189956,697.7374999999998,556.925,10799.999999991,10799.999999991,0.0,True,False
3190,2025-01-03 05:10:00,184.19158332523315,705.9309833333334,521.7393999999999,10799.999999991,10799.999999991,0.0,True,False
3200,2025-01-03 05:20:00,181.992208325233,719.3859916666667,537.3937833333333,10799.999999991,10799.999999991,0.0,True,False
3210,2025-01-03 05:30:00,115.83499999189982,717.1433333333334,601.3083333333333,10799.999999991,10799.999999991,0.0,True,False
3220,2025-01-03 05:40:00,900.9593999918999,1523.2425833333334,622.2831833333332,10799.999999991,10799.999999991,0.0,True,False
3230,2025-01-03 05:50:00,177.75985832523313,761.6551583333334,583.8952999999999,10799.999999991,10799.999999991,0.0,True,False
3300,2025-01-03 07:00:00,95.61638696354349,913.733125,631.2016666666666,10631.77643575819,10799.999999991,168.22356423281087,True,False
3310,2025-01-03 07:10:00,238.8450416585664,888.022075,649.1770333333333,10799.999999991,10799.999999991,0.0,True,False
3320,2025-01-03 07:20:00,208.57789165856647,859.4041083333334,650.8262166666666,10799.999999991,10799.999999991,0.0,True,False
3330,2025-01-03 07:30:00,153.02812499189972,805.3497916666666,652.3216666666666,10799.999999991,10799.999999991,0.0,True,False
3340,2025-01-03 07:40:00,890.7870666585666,1540.3321833333334,649.5451166666667,10799.999999991,10799.999999991,0.0,True,False
3350,2025-01-03 07:50:00,119.94059999189616,772.9940666666631,653.0534666666666,10799.999999991,10799.999999991,0.0,True,False
3360,2025-01-03 08:00:00,64.02771665856645,734.9577166666668,670.93,10799.999999991,10799.999999991,0.0,True,False
3370,2025-01-03 08:10:00,34.972166658566586,726.02655,691.0543833333332,10799.999999991,10799.999999991,0.0,True,False
3800,2025-01-03 15:20:00,19.839558343333117,1471.2412416666666,618.06835,8839.874958833392,9589.874958824392,749.9999999910001,False,True
3810,2025-01-03 15:30:00,10.629375009999983,1487.4510416666667,643.4883333333332,9589.874958824392,10339.874958815391,749.999999991,False,True
3820,2025-01-03 15:40:00,141.07081011352085,1275.012155864197,622.6913,10339.874958815391,10799.999999991,460.12504117560854,True,False
3830,2025-01-03 15:50:00,146.8213749918999,763.4859916666669,616.6646166666667,10799.999999991,10799.999999991,0.0,True,False
3840,2025-01-03 16:00:00,155.97416665856636,792.1741666666667,636.1999999999999,10799.999999991,10799.999999991,0.0,True,False
3850,2025-01-03 16:10:00,222.757558325233,848.0829083333333,625.32535,10799.999999991,10799.999999991,0.0,True,False
3860,2025-01-03 16:20:00,305.4697499918999,894.3294833333334,588.8597333333332,10799.999999991,10799.999999991,0.0,True,False
3870,2025-01-03 16:30:00,354.547708325233,922.2577083333333,567.71,10799.999999991,10799.999999991,0.0,True,False
3880,2025-01-03 16:40:00,374.17307499189957,964.8666749999998,590.6936,10799.999999991,10799.999999991,0.0,True,False
3890,2025-01-03 16:50:00,455.8062499918998,1020.0615166666666,564.2552666666666,10799.999999991,10799.999999991,0.0,True,False
3900,2025-01-03 17:00:00,558.6743749918999,1058.0977083333335,499.4233333333333,10799.999999991,10799.999999991,0.0,True,False
3910,2025-01-03 17:10:00,545.9934999918997,1045.0759833333334,499.08248333333336,10799.999999991,10799.999999991,0.0,True,False
3920,2025-01-03 17:20:00,528.3563999919,1024.4905666666668,496.1341666666666,10799.999999991,10799.999999991,0.0,True,False
3930,2025-01-03 17:30:00,556.898333325233,1031.435,474.53666666666663,10799.999999991,10799.999999991,0.0,True,False
3940,2025-01-03 17:40:00,573.228458325233,1061.7083249999998,488.4798666666666,10799.999999991,10799.999999991,0.0,True,False
3950,2025-01-03 17:50:00,464.25154165856634,959.3754083333333,495.12386666666663,10799.999999991,10799.999999991,0.0,True,False
3960,2025-01-03 18:00:00,303.0566666585662,779.5616666666665,476.505,10799.999999991,10799.999999991,0.0,True,False
3970,2025-01-03 18:10:00,284.7933666585664,746.1044666666667,461.31109999999995,10799.999999991,10799.999999991,0.0,True,False
3980,2025-01-03 18:20:00,297.84413332523303,760.9626,463.1184666666666,10799.999999991,10799.999999991,0.0,True,False
3990,2025-01-03 18:30:00,281.7333333252331,750.0466666666667,468.31333333333333,10799.999999991,10799.999999991,0.0,True,False
4000,2025-01-03 18:40:00,289.9826749918998,741.9776416666667,451.99496666666664,10799.999999991,10799.999999991,0.0,True,False
4010,2025-01-03 18:50:00,109.91151665856694,544.8247833333339,434.9132666666667,10799.999999991,10799.999999991,0.0,True,False
4200,2025-01-03 22:00:00,174.63250001000006,1421.5391666666667,413.5733333333333,7076.15311856874,7826.15311855874,749.99999999,False,True
4210,2025-01-03 22:10:00,162.31530000999987,1404.6072833333333,408.95865000000003,7826.15311855874,8576.15311854974,749.999999991,False,True
4230,2025-01-03 22:30:00,177.04000001000009,1420.7166666666667,410.3433333333333,8729.65080354074,9479.65080353174,749.999999991,False,True
4240,2025-01-03 22:40:00,185.77765834333331,1428.2689416666667,409.15795,9479.65080353174,10229.65080352274,749.999999991,False,True
4250,2025-01-03 22:50:00,358.56967059082206,1405.3593333333333,413.06833333333327,10229.65080352274,10799.999999991,570.3491964682602,True,False
4260,2025-01-03 23:00:00,962.5599999918998,1384.4666666666667,421.90666666666664,10799.999999991,10799.999999991,0.0,True,False
4270,2025-01-03 23:10:00,834.5953916585664,1271.055125,436.45973333333336,10799.999999991,10799.999999991,0.0,True,False
4280,2025-01-03 23:20:00,1014.5618083252332,1460.3799583333334,445.81814999999995,10799.999999991,10799.999999991,0.0,True,False
4290,2025-01-03 23:30:00,987.3516666585665,1435.5083333333334,448.15666666666664,10799.999999991,10799.999999991,0.0,True,False
4300,2025-01-03 23:40:00,991.5468416585664,1443.6099916666667,452.06315,10799.999999991,10799.999999991,0.0,True,False
