window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day_partial_0010,2025-01-01,61741.911348,0.000000,34593.627183,96335.538532,36083.404525,0.000000,179234.253560,0.000000,215317.658084,,
natural_day,2025-01-02,97105.881931,0.000000,1625.332727,98731.214657,61930.725534,0.000000,8681.090641,0.000000,70611.816175,,
natural_day,2025-01-03,97461.846265,0.000000,0.000000,97461.846265,62265.727988,0.000000,0.000000,0.000000,62265.727988,,
natural_day,2025-01-04,78801.433032,0.000000,0.000000,78801.433032,48669.337456,0.000000,0.000000,0.000000,48669.337456,,
natural_day,2025-01-05,70649.023288,0.000000,20724.410807,91373.434095,42409.642510,0.000000,121416.862733,0.000000,163826.505244,,
natural_day,2025-01-06,81227.442529,0.000000,16130.918655,97358.361184,48597.745363,0.000000,95326.789126,0.000000,143924.534489,,
natural_day,2025-01-07,81054.373699,0.000000,15044.045105,96098.418804,49893.870819,0.000000,90753.963587,0.000000,140647.834406,,
natural_day,2025-01-08,96599.275132,0.000000,325.053856,96924.328988,62432.858048,0.000000,1946.192700,0.000000,64379.050749,,
natural_day,2025-01-09,96272.833846,0.000000,841.047813,97113.881659,62373.411609,0.000000,5804.694783,0.000000,68178.106392,,
natural_day,2025-01-10,49102.261598,0.000000,855.587356,49957.848953,26291.033738,0.000000,5399.955093,0.000000,31690.988831,,
natural_day,2025-01-11,49399.776859,0.000000,269.009131,49668.785990,26570.979097,0.000000,1644.452818,0.000000,28215.431915,,
natural_day,2025-01-12,96073.845508,0.000000,536.991586,96610.837094,62269.622463,0.000000,3697.312123,0.000000,65966.934586,,
natural_day,2025-01-13,95485.177027,0.000000,0.000000,95485.177027,61741.406864,0.000000,0.000000,0.000000,61741.406864,,
natural_day,2025-01-14,96191.749328,0.000000,31.626446,96223.375774,62018.388919,0.000000,175.314265,0.000000,62193.703185,,
natural_day,2025-01-15,95395.543531,0.000000,1103.261628,96498.805159,61444.025778,0.000000,7543.694643,0.000000,68987.720422,,
natural_day,2025-01-16,95437.543477,0.000000,694.568696,96132.112174,61545.974431,0.000000,4020.097317,0.000000,65566.071748,,
natural_day,2025-01-17,48237.805245,0.000000,0.000000,48237.805245,25829.006477,0.000000,0.000000,0.000000,25829.006477,,
natural_day,2025-01-18,48408.175735,0.000000,308.368722,48716.544457,25942.201582,0.000000,1832.626529,0.000000,27774.828111,,
natural_day,2025-01-19,94127.036342,0.000000,961.717175,95088.753517,60525.348122,0.000000,6633.867076,0.000000,67159.215198,,
natural_day,2025-01-20,93940.655765,0.000000,367.397505,94308.053270,60454.943279,0.000000,2467.499920,0.000000,62922.443199,,
natural_day,2025-01-21,93207.838948,0.000000,0.000000,93207.838948,60076.558944,0.000000,0.000000,0.000000,60076.558944,,
natural_day,2025-01-22,93381.605461,0.000000,784.683576,94166.289037,60158.221655,0.000000,5293.509928,0.000000,65451.731583,,
natural_day,2025-01-23,94006.382430,0.000000,1641.666105,95648.048535,60449.603589,0.000000,11041.559022,0.000000,71491.162611,,
natural_day,2025-01-24,46209.565644,0.000000,0.000000,46209.565644,24583.026239,0.000000,0.000000,0.000000,24583.026239,,
natural_day,2025-01-25,45732.832365,0.000000,205.825404,45938.657770,24440.922968,0.000000,1258.210697,0.000000,25699.133664,,
natural_day,2025-01-26,91731.823687,0.000000,1346.103161,93077.926848,58981.816697,0.000000,9204.226130,0.000000,68186.042827,,
natural_day,2025-01-27,91596.142238,0.000000,111.656078,91707.798316,58855.748358,0.000000,778.912803,0.000000,59634.661161,,
natural_day,2025-01-28,91577.623264,0.000000,1557.173432,93134.796696,58506.887430,0.000000,10306.377189,0.000000,68813.264619,,
natural_day,2025-01-29,91745.360705,0.000000,0.000000,91745.360705,58876.016565,0.000000,0.000000,0.000000,58876.016565,,
natural_day,2025-01-30,90152.923534,0.000000,514.287380,90667.210914,57701.769446,0.000000,3071.938167,0.000000,60773.707613,,
natural_day,2025-01-31,42847.837770,0.000000,540.577704,43388.415473,22746.614343,0.000000,3360.680882,0.000000,26107.295226,,
natural_day,2025-02-01,42877.956583,0.000000,359.493776,43237.450360,22818.125980,0.000000,2197.585453,0.000000,25015.711433,,
natural_day,2025-02-02,89168.879662,0.000000,145.656086,89314.535749,56945.145803,0.000000,1016.096859,0.000000,57961.242663,,
natural_day,2025-02-03,84768.575869,0.000000,46.166991,84814.742860,54960.157847,0.000000,316.516972,0.000000,55276.674819,,
natural_day,2025-02-04,87568.845865,0.000000,536.500617,88105.346482,55843.109418,0.000000,3742.267186,0.000000,59585.376605,,
natural_day,2025-02-05,87130.276785,0.000000,144.397660,87274.674445,55226.688414,0.000000,1007.318077,0.000000,56234.006491,,
natural_day,2025-02-06,88310.720008,0.000000,0.000000,88310.720008,56245.208910,0.000000,0.000000,0.000000,56245.208910,,
natural_day,2025-02-07,41388.268410,0.000000,0.000000,41388.268410,21546.094847,0.000000,0.000000,0.000000,21546.094847,,
natural_day,2025-02-08,39580.391478,0.000000,38.857705,39619.249183,20511.075332,0.000000,237.537151,0.000000,20748.612482,,
natural_day,2025-02-09,84423.407858,0.000000,563.726180,84987.134038,53330.417955,0.000000,3893.287954,0.000000,57223.705909,,
natural_day,2025-02-10,85953.386054,0.000000,0.000000,85953.386054,54279.924559,0.000000,0.000000,0.000000,54279.924559,,
natural_day,2025-02-11,84583.356297,0.000000,0.000000,84583.356297,53223.364067,0.000000,0.000000,0.000000,53223.364067,,
natural_day,2025-02-12,84119.420167,0.000000,55.151789,84174.571956,52855.042718,0.000000,292.275069,0.000000,53147.317787,,
natural_day,2025-02-13,83178.080179,0.000000,0.000000,83178.080179,52347.099766,0.000000,0.000000,0.000000,52347.099766,,
natural_day,2025-02-14,38286.098195,0.000000,191.066588,38477.164783,19782.181049,0.000000,1167.990052,0.000000,20950.171101,,
natural_day,2025-02-15,38087.185854,0.000000,363.735277,38450.921132,19622.581843,0.000000,1969.223380,0.000000,21591.805223,,
natural_day,2025-02-16,80966.199016,0.000000,549.841246,81516.040262,50435.832796,0.000000,3826.326968,0.000000,54262.159764,,
natural_day,2025-02-17,80134.990179,0.000000,2.457117,80137.447295,49839.796449,0.000000,16.517967,0.000000,49856.314416,,
natural_day,2025-02-18,79460.830054,0.000000,0.000000,79460.830054,49463.078994,0.000000,0.000000,0.000000,49463.078994,,
natural_day,2025-02-19,78611.177111,0.000000,149.540030,78760.717141,48905.561016,0.000000,916.595310,0.000000,49822.156326,,
natural_day,2025-02-20,78821.543528,0.000000,4.108595,78825.652124,48937.052066,0.000000,19.244661,0.000000,48956.296726,,
natural_day,2025-02-21,36848.072894,0.000000,0.000000,36848.072894,18958.991136,0.000000,0.000000,0.000000,18958.991136,,
natural_day,2025-02-22,37136.469000,0.000000,342.418002,37478.887001,19045.944595,0.000000,2093.201245,0.000000,21139.145840,,
natural_day,2025-02-23,76845.290441,0.000000,16.165676,76861.456117,47620.818291,0.000000,79.785695,0.000000,47700.603986,,
natural_day,2025-02-24,76768.436186,0.000000,95.212421,76863.648606,47363.571821,0.000000,529.754306,0.000000,47893.326127,,
natural_day,2025-02-25,76132.126081,0.000000,111.326095,76243.452177,47010.685006,0.000000,560.185866,0.000000,47570.870872,,
natural_day,2025-02-26,76512.333326,0.000000,379.035678,76891.369003,47143.310912,0.000000,2624.069661,0.000000,49767.380573,,
natural_day,2025-02-27,73077.602094,0.000000,78.480653,73156.082747,45200.801447,0.000000,385.810875,0.000000,45586.612323,,
natural_day,2025-02-28,34553.088963,0.000000,157.078007,34710.166970,17689.020942,0.000000,808.850313,0.000000,18497.871255,,
result_row,2025-02-01,43013.054883,0.000000,359.493776,43372.548660,22875.894013,0.000000,2197.585453,0.000000,25073.479466,,
result_row,2025-02-02,89185.785929,0.000000,145.656086,89331.442016,56952.374923,0.000000,1016.096859,0.000000,57968.471782,,
result_row,2025-02-03,84738.937311,0.000000,46.166991,84785.104301,54947.484399,0.000000,316.516972,0.000000,55264.001371,,
result_row,2025-02-04,87580.093732,0.000000,536.500617,88116.594349,55847.919006,0.000000,3742.267186,0.000000,59590.186192,,
result_row,2025-02-05,87140.561669,0.000000,144.397660,87284.959329,55231.086230,0.000000,1007.318077,0.000000,56238.404307,,
result_row,2025-02-06,88178.163566,0.000000,0.000000,88178.163566,56188.527776,0.000000,0.000000,0.000000,56188.527776,,
result_row,2025-02-07,41361.260827,0.000000,0.000000,41361.260827,21534.546405,0.000000,0.000000,0.000000,21534.546405,,
result_row,2025-02-08,39734.331920,0.000000,38.857705,39773.189625,20576.900265,0.000000,237.537151,0.000000,20814.437415,,
result_row,2025-02-09,84447.262425,0.000000,563.726180,85010.988605,53340.618168,0.000000,3893.287954,0.000000,57233.906122,,
result_row,2025-02-10,85955.209437,0.000000,0.000000,85955.209437,54280.704238,0.000000,0.000000,0.000000,54280.704238,,
result_row,2025-02-11,84559.183189,0.000000,0.000000,84559.183189,53213.027646,0.000000,0.000000,0.000000,53213.027646,,
result_row,2025-02-12,84113.791434,0.000000,55.151789,84168.943223,52852.635872,0.000000,292.275069,0.000000,53144.910941,,
result_row,2025-02-13,83022.910704,0.000000,0.000000,83022.910704,52280.749298,0.000000,0.000000,0.000000,52280.749298,,
result_row,2025-02-14,38277.821853,0.000000,191.066588,38468.888441,19778.642085,0.000000,1167.990052,0.000000,20946.632137,,
result_row,2025-02-15,38245.300746,0.000000,363.735277,38609.036023,19690.191770,0.000000,1969.223380,0.000000,21659.415151,,
result_row,2025-02-16,80994.547525,0.000000,549.841246,81544.388771,50447.954618,0.000000,3826.326968,0.000000,54274.281587,,
result_row,2025-02-17,80140.751354,0.000000,2.457117,80143.208470,49842.259928,0.000000,16.517967,0.000000,49858.777895,,
result_row,2025-02-18,79409.074971,0.000000,0.000000,79409.074971,49440.948520,0.000000,0.000000,0.000000,49440.948520,,
result_row,2025-02-19,78630.764870,0.000000,149.540030,78780.304899,48913.936742,0.000000,916.595310,0.000000,49830.532052,,
result_row,2025-02-20,78674.551237,0.000000,4.108595,78678.659832,48874.198162,0.000000,19.244661,0.000000,48893.442822,,
result_row,2025-02-21,36860.500028,0.000000,0.000000,36860.500028,18964.304979,0.000000,0.000000,0.000000,18964.304979,,
result_row,2025-02-22,37248.245216,0.000000,342.418002,37590.663218,19093.740105,0.000000,2093.201245,0.000000,21186.941350,,
result_row,2025-02-23,76873.760566,0.000000,16.165676,76889.926242,47632.992117,0.000000,79.785695,0.000000,47712.777811,,
result_row,2025-02-24,76767.605527,0.000000,95.212421,76862.817948,47363.216631,0.000000,529.754306,0.000000,47892.970937,,
result_row,2025-02-25,76128.877181,0.000000,111.326095,76240.203277,47009.295776,0.000000,560.185866,0.000000,47569.481643,,
result_row,2025-02-26,76491.741909,0.000000,379.035678,76870.777587,47134.506022,0.000000,2624.069661,0.000000,49758.575683,,
result_row,2025-02-27,72937.044160,0.000000,78.480653,73015.524813,45140.698875,0.000000,385.810875,0.000000,45526.509750,,
result_row,2025-02-28,34572.923013,0.000000,157.078007,34730.001020,17697.501982,0.000000,808.850313,0.000000,18506.352295,,
