开始时间,结束时间,归属日期,日内时段,计划购电_kWh,实际普通购电_kWh,普通调整差额_kWh,紧急购电_kWh,实际外网总购电_kWh,普通电价_元每kWh,普通电费_元,紧急单价_元每kWh,紧急电费_元,本段总电费_元,电费标签,弃购电_kWh,购电利用量_kWh
2025-02-01T00:10:00,2025-02-01T00:20:00,2025-02-01,1,438.81306766760304,438.81306766760304,0.0,0.0,438.81306766760304,0.4248,186.40779114519776,2.124,0.0,186.40779114519776,186.41元,0.0,438.81306766760304
2025-02-01T00:20:00,2025-02-01T00:30:00,2025-02-01,2,436.37479619184273,436.37479619184273,0.0,0.0,436.37479619184273,0.4245,185.24110098343724,2.1225,0.0,185.24110098343724,185.24元,0.0,436.37479619184273
2025-02-01T00:30:00,2025-02-01T00:40:00,2025-02-01,3,436.632359048205,436.632359048205,0.0,0.0,436.632359048205,0.4269,186.3983540776787,2.1345,0.0,186.3983540776787,186.40元,0.0,436.632359048205
2025-02-01T00:40:00,2025-02-01T00:50:00,2025-02-01,4,457.5029731904826,457.5029731904826,0.0,0.0,457.5029731904826,0.4272,195.44527014697417,2.136,0.0,195.44527014697417,195.45元,0.0,457.5029731904826
2025-02-01T00:50:00,2025-02-01T01:00:00,2025-02-01,5,466.51842341893683,466.51842341893683,0.0,0.0,466.51842341893683,0.4271,199.2500186422279,2.1355,0.0,199.2500186422279,199.25元,18.529861935073715,447.9885614838631
2025-02-01T01:00:00,2025-02-01T01:10:00,2025-02-01,6,463.4415834096056,463.4415834096056,0.0,0.0,463.4415834096056,0.4285,198.584718491016,2.1425,0.0,198.584718491016,198.58元,57.38991673483864,406.0516666747669
2025-02-01T01:10:00,2025-02-01T01:20:00,2025-02-01,7,476.32244757157594,476.32244757157594,0.0,0.0,476.32244757157594,0.4311,205.34260714810637,2.1555,0.0,205.34260714810637,205.34元,39.57226423014229,436.7501833414336
2025-02-01T01:20:00,2025-02-01T01:30:00,2025-02-01,8,468.86709789903483,468.86709789903483,0.0,0.0,468.86709789903483,0.4302,201.7066255161648,2.1510000000000002,0.0,201.7066255161648,201.71元,17.069414557601228,451.7976833414336
2025-02-01T01:30:00,2025-02-01T01:40:00,2025-02-01,9,452.5262558182414,452.5262558182414,0.0,0.0,452.5262558182414,0.4279,193.6359848646255,2.1395,0.0,193.6359848646255,193.64元,6.446255810141087,446.0800000081003
2025-02-01T01:40:00,2025-02-01T01:50:00,2025-02-01,10,477.46070319622567,477.46070319622567,0.0,0.0,477.46070319622567,0.4312,205.8810552182125,2.156,0.0,205.8810552182125,205.88元,5.6943698547920345,471.7663333414336
2025-02-01T01:50:00,2025-02-01T02:00:00,2025-02-01,11,494.00180334468456,494.00180334468456,0.0,0.0,494.00180334468456,0.4333,214.05098138925183,2.1665,0.0,214.05098138925183,214.05元,45.97583666991759,448.02596667476695
2025-02-01T02:00:00,2025-02-01T02:10:00,2025-02-01,12,486.73893368586994,486.73893368586994,0.0,0.0,486.73893368586994,0.4311,209.83315431197852,2.1555,0.0,209.83315431197852,209.83元,89.3356003444363,397.4033333414336
2025-02-01T02:10:00,2025-02-01T02:20:00,2025-02-01,13,490.0645575806002,490.0645575806002,0.0,0.0,490.0645575806002,0.4293,210.38471456935167,2.1465,0.0,210.38471456935167,210.38元,55.97392423916657,434.0906333414336
2025-02-01T02:20:00,2025-02-01T02:30:00,2025-02-01,14,498.11994281851764,498.11994281851764,0.0,0.0,498.11994281851764,0.4324,215.38706327472704,2.162,0.0,215.38706327472704,215.39元,7.559026143750691,490.56091667476693
2025-02-01T02:30:00,2025-02-01T02:40:00,2025-02-01,15,499.4546001040474,499.4546001040474,0.0,0.0,499.4546001040474,0.4367,218.1118238654375,2.1835,0.0,218.1118238654375,218.11元,0.0,499.4546001040474
2025-02-01T02:40:00,2025-02-01T02:50:00,2025-02-01,16,492.7778907048412,492.7778907048412,0.0,0.0,492.7778907048412,0.4348,214.25982687846496,2.174,0.0,214.25982687846496,214.26元,14.056432203664869,478.7214585011763
2025-02-01T02:50:00,2025-02-01T03:00:00,2025-02-01,17,495.9155132628215,495.9155132628215,0.0,0.0,495.9155132628215,0.4335,214.9793749994331,2.1675,0.0,214.9793749994331,214.98元,34.5311132547212,461.3844000081003
2025-02-01T03:00:00,2025-02-01T03:10:00,2025-02-01,18,508.55270310127014,508.55270310127014,0.0,0.0,508.55270310127014,0.4357,221.57641274122338,2.1784999999999997,0.0,221.57641274122338,221.58元,31.611036426503155,476.94166667476696
2025-02-01T03:10:00,2025-02-01T03:20:00,2025-02-01,19,512.8085973614035,512.8085973614035,0.0,0.0,512.8085973614035,0.4374,224.30248048587788,2.1870000000000003,0.0,224.30248048587788,224.30元,29.409047353303187,483.3995500081003
2025-02-01T03:20:00,2025-02-01T03:30:00,2025-02-01,20,511.69235763520555,511.69235763520555,0.0,0.0,511.69235763520555,0.4371,223.66072952234833,2.1854999999999998,0.0,223.66072952234833,223.66元,25.090440960438606,486.6019166747669
2025-02-01T03:30:00,2025-02-01T03:40:00,2025-02-01,21,506.9093584279571,506.9093584279571,0.0,0.0,506.9093584279571,0.4356,220.8097165312181,2.178,0.0,220.8097165312181,220.81元,8.06102508652342,498.84833334143366
2025-02-01T03:40:00,2025-02-01T03:50:00,2025-02-01,22,499.02232561722235,499.02232561722235,0.0,0.0,499.02232561722235,0.4353,217.2244183411769,2.1765,0.0,217.2244183411769,217.22元,0.0,499.02232561722235
2025-02-01T03:50:00,2025-02-01T04:00:00,2025-02-01,23,509.47473657506293,509.47473657506293,0.0,0.0,509.47473657506293,0.436,222.13098514672743,2.18,0.0,222.13098514672743,222.13元,0.0,509.47473657506293
2025-02-01T04:00:00,2025-02-01T04:10:00,2025-02-01,24,527.2687994535693,527.2687994535693,0.0,0.0,527.2687994535693,0.4378,230.83828040077265,2.189,0.0,230.83828040077265,230.84元,20.181788233309412,507.08701122025985
2025-02-01T04:10:00,2025-02-01T04:20:00,2025-02-01,25,519.4628758004685,519.4628758004685,0.0,0.0,519.4628758004685,0.4401,228.61561163978618,2.2005,0.0,228.61561163978618,228.62元,28.276075792368182,491.1868000081003
2025-02-01T04:20:00,2025-02-01T04:30:00,2025-02-01,26,514.8992048382323,514.8992048382323,0.0,0.0,514.8992048382323,0.4389,225.98926100350016,2.1945,0.0,225.98926100350016,225.99元,10.25392149679866,504.64528334143364
2025-02-01T04:30:00,2025-02-01T04:40:00,2025-02-01,27,526.7736577401041,526.7736577401041,0.0,0.0,526.7736577401041,0.4364,229.88402423778143,2.182,0.0,229.88402423778143,229.88元,21.19532439867053,505.57833334143356
2025-02-01T04:40:00,2025-02-01T04:50:00,2025-02-01,28,539.394455236465,539.394455236465,0.0,0.0,539.394455236465,0.4393,236.95598418537907,2.1965000000000003,0.0,236.95598418537907,236.96元,36.163488561698024,503.23096667476693
2025-02-01T04:50:00,2025-02-01T05:00:00,2025-02-01,29,547.4539784325691,547.4539784325691,0.0,0.0,547.4539784325691,0.4422,242.08414926288205,2.211,0.0,242.08414926288205,242.08元,44.6069950911354,502.8469833414337
2025-02-01T05:00:00,2025-02-01T05:10:00,2025-02-01,30,546.4732411710656,546.4732411710656,0.0,0.0,546.4732411710656,0.4395,240.17498949468336,2.1975,0.0,240.17498949468336,240.17元,46.831574496298664,499.64166667476695
2025-02-01T05:10:00,2025-02-01T05:20:00,2025-02-01,31,535.7293589393831,535.7293589393831,0.0,0.0,535.7293589393831,0.4333,232.1315312284347,2.1665,0.0,232.1315312284347,232.13元,46.945775597949456,488.78358334143365
2025-02-01T05:20:00,2025-02-01T05:30:00,2025-02-01,32,536.9587208696705,536.9587208696705,0.0,0.0,536.9587208696705,0.4439,238.35597619404675,2.2195,0.0,238.35597619404675,238.36元,38.43997086157022,498.5187500081003
2025-02-01T05:30:00,2025-02-01T05:40:00,2025-02-01,33,554.1875598313693,554.1875598313693,0.0,0.0,554.1875598313693,0.4301,238.3560694834719,2.1505,0.0,238.3560694834719,238.36元,24.96422648993562,529.2233333414337
2025-02-01T05:40:00,2025-02-01T05:50:00,2025-02-01,34,693.9249989918162,693.9249989918162,0.0,0.0,693.9249989918162,0.3713,257.6543521256614,1.8565,0.0,257.6543521256614,257.65元,146.51468231704925,547.4103166747669
2025-02-01T05:50:00,2025-02-01T06:00:00,2025-02-01,35,556.5478594319289,556.5478594319289,0.0,0.0,556.5478594319289,0.5708,317.67751816374505,2.854,0.0,317.67751816374505,317.68元,25.32045942382866,531.2274000081003
2025-02-01T06:00:00,2025-02-01T06:10:00,2025-02-01,36,0.0,0.0,0.0,0.0,0.0,0.9099,0.0,4.5495,0.0,0.0,0.00元,0.0,0.0
2025-02-01T06:10:00,2025-02-01T06:20:00,2025-02-01,37,0.0,0.0,0.0,0.0,0.0,0.9368,0.0,4.684,0.0,0.0,0.00元,0.0,0.0
2025-02-01T06:20:00,2025-02-01T06:30:00,2025-02-01,38,0.0,0.0,0.0,0.0,0.0,0.8758,0.0,4.3790000000000004,0.0,0.0,0.00元,0.0,0.0
2025-02-01T06:30:00,2025-02-01T06:40:00,2025-02-01,39,0.0,0.0,0.0,0.0,0.0,0.8759,0.0,4.3795,0.0,0.0,0.00元,0.0,0.0
2025-02-01T06:40:00,2025-02-01T06:50:00,2025-02-01,40,0.0,0.0,0.0,0.0,0.0,0.8601,0.0,4.3004999999999995,0.0,0.0,0.00元,0.0,0.0
2025-02-01T06:50:00,2025-02-01T07:00:00,2025-02-01,41,0.0,0.0,0.0,0.0,0.0,0.8442,0.0,4.221,0.0,0.0,0.00元,0.0,0.0
2025-02-01T07:00:00,2025-02-01T07:10:00,2025-02-01,42,0.0,0.0,0.0,0.0,0.0,0.8334,0.0,4.167,0.0,0.0,0.00元,0.0,0.0
2025-02-01T07:10:00,2025-02-01T07:20:00,2025-02-01,43,0.0,0.0,0.0,0.0,0.0,0.8092,0.0,4.046,0.0,0.0,0.00元,0.0,0.0
2025-02-01T07:20:00,2025-02-01T07:30:00,2025-02-01,44,0.0,0.0,0.0,0.0,0.0,0.7972,0.0,3.986,0.0,0.0,0.00元,0.0,0.0
2025-02-01T07:30:00,2025-02-01T07:40:00,2025-02-01,45,437.5050806107543,437.5050806107543,0.0,0.0,437.5050806107543,0.7644,334.4288836188606,3.822,0.0,334.4288836188606,334.43元,0.0,437.5050806107543
2025-02-01T07:40:00,2025-02-01T07:50:00,2025-02-01,46,427.15012618859475,427.15012618859475,0.0,0.0,427.15012618859475,0.6899,294.6908720575115,3.4494999999999996,0.0,294.6908720575115,294.69元,0.0,427.15012618859475
2025-02-01T07:50:00,2025-02-01T08:00:00,2025-02-01,47,0.0,0.0,0.0,0.0,0.0,0.86,0.0,4.3,0.0,0.0,0.00元,0.0,0.0
2025-02-01T08:00:00,2025-02-01T08:10:00,2025-02-01,48,0.0,0.0,0.0,0.0,0.0,1.1617,0.0,5.8084999999999996,0.0,0.0,0.00元,0.0,0.0
2025-02-01T08:10:00,2025-02-01T08:20:00,2025-02-01,49,0.0,0.0,0.0,0.0,0.0,1.1683,0.0,5.8415,0.0,0.0,0.00元,0.0,0.0
2025-02-01T08:20:00,2025-02-01T08:30:00,2025-02-01,50,0.0,0.0,0.0,0.0,0.0,1.0956,0.0,5.478,0.0,0.0,0.00元,0.0,0.0
2025-02-01T08:30:00,2025-02-01T08:40:00,2025-02-01,51,0.0,0.0,0.0,0.0,0.0,1.0849,0.0,5.4245,0.0,0.0,0.00元,0.0,0.0
2025-02-01T08:40:00,2025-02-01T08:50:00,2025-02-01,52,0.0,0.0,0.0,0.0,0.0,1.061,0.0,5.305,0.0,0.0,0.00元,0.0,0.0
2025-02-01T08:50:00,2025-02-01T09:00:00,2025-02-01,53,0.0,0.0,0.0,0.0,0.0,1.043,0.0,5.215,0.0,0.0,0.00元,0.0,0.0
2025-02-01T09:00:00,2025-02-01T09:10:00,2025-02-01,54,0.0,0.0,0.0,0.0,0.0,1.036,0.0,5.18,0.0,0.0,0.00元,0.0,0.0
2025-02-01T09:10:00,2025-02-01T09:20:00,2025-02-01,55,0.0,0.0,0.0,0.0,0.0,1.0147,0.0,5.073499999999999,0.0,0.0,0.00元,0.0,0.0
2025-02-01T09:20:00,2025-02-01T09:30:00,2025-02-01,56,0.0,0.0,0.0,0.0,0.0,0.9922,0.0,4.961,0.0,0.0,0.00元,0.0,0.0
2025-02-01T09:30:00,2025-02-01T09:40:00,2025-02-01,57,0.0,0.0,0.0,0.0,0.0,0.97,0.0,4.85,0.0,0.0,0.00元,0.0,0.0
2025-02-01T09:40:00,2025-02-01T09:50:00,2025-02-01,58,0.0,0.0,0.0,0.0,0.0,0.9422,0.0,4.711,0.0,0.0,0.00元,0.0,0.0
2025-02-01T09:50:00,2025-02-01T10:00:00,2025-02-01,59,0.0,0.0,0.0,0.0,0.0,0.9569,0.0,4.7844999999999995,0.0,0.0,0.00元,0.0,0.0
2025-02-01T10:00:00,2025-02-01T10:10:00,2025-02-01,60,0.0,0.0,0.0,0.0,0.0,0.9977,0.0,4.9885,0.0,0.0,0.00元,0.0,0.0
2025-02-01T10:10:00,2025-02-01T10:20:00,2025-02-01,61,0.0,0.0,0.0,0.0,0.0,0.9919,0.0,4.9595,0.0,0.0,0.00元,0.0,0.0
2025-02-01T10:20:00,2025-02-01T10:30:00,2025-02-01,62,0.0,0.0,0.0,0.0,0.0,0.9588,0.0,4.794,0.0,0.0,0.00元,0.0,0.0
2025-02-01T10:30:00,2025-02-01T10:40:00,2025-02-01,63,0.0,0.0,0.0,0.0,0.0,0.9549,0.0,4.7745,0.0,0.0,0.00元,0.0,0.0
2025-02-01T10:40:00,2025-02-01T10:50:00,2025-02-01,64,0.0,0.0,0.0,0.0,0.0,0.9839,0.0,4.9195,0.0,0.0,0.00元,0.0,0.0
2025-02-01T10:50:00,2025-02-01T11:00:00,2025-02-01,65,0.0,0.0,0.0,0.0,0.0,0.799,0.0,3.995,0.0,0.0,0.00元,0.0,0.0
2025-02-01T11:00:00,2025-02-01T11:10:00,2025-02-01,66,0.0,0.0,0.0,0.0,0.0,0.5025,0.0,2.5124999999999997,0.0,0.0,0.00元,0.0,0.0
2025-02-01T11:10:00,2025-02-01T11:20:00,2025-02-01,67,0.0,0.0,0.0,0.0,0.0,0.4662,0.0,2.331,0.0,0.0,0.00元,0.0,0.0
2025-02-01T11:20:00,2025-02-01T11:30:00,2025-02-01,68,0.0,0.0,0.0,0.0,0.0,0.5007,0.0,2.5035000000000003,0.0,0.0,0.00元,0.0,0.0
2025-02-01T11:30:00,2025-02-01T11:40:00,2025-02-01,69,0.0,0.0,0.0,0.0,0.0,0.4827,0.0,2.4135,0.0,0.0,0.00元,0.0,0.0
2025-02-01T11:40:00,2025-02-01T11:50:00,2025-02-01,70,0.0,0.0,0.0,0.0,0.0,0.4785,0.0,2.3925,0.0,0.0,0.00元,0.0,0.0
2025-02-01T11:50:00,2025-02-01T12:00:00,2025-02-01,71,0.0,0.0,0.0,0.0,0.0,0.4662,0.0,2.331,0.0,0.0,0.00元,0.0,0.0
2025-02-01T12:00:00,2025-02-01T12:10:00,2025-02-01,72,0.0,0.0,0.0,0.0,0.0,0.4432,0.0,2.2159999999999997,0.0,0.0,0.00元,0.0,0.0
2025-02-01T12:10:00,2025-02-01T12:20:00,2025-02-01,73,0.0,0.0,0.0,0.0,0.0,0.4411,0.0,2.2055,0.0,0.0,0.00元,0.0,0.0
2025-02-01T12:20:00,2025-02-01T12:30:00,2025-02-01,74,0.0,0.0,0.0,0.0,0.0,0.4551,0.0,2.2755,0.0,0.0,0.00元,0.0,0.0
2025-02-01T12:30:00,2025-02-01T12:40:00,2025-02-01,75,0.0,0.0,0.0,0.0,0.0,0.4463,0.0,2.2315,0.0,0.0,0.00元,0.0,0.0
2025-02-01T12:40:00,2025-02-01T12:50:00,2025-02-01,76,0.0,0.0,0.0,0.0,0.0,0.4113,0.0,2.0564999999999998,0.0,0.0,0.00元,0.0,0.0
2025-02-01T12:50:00,2025-02-01T13:00:00,2025-02-01,77,0.0,0.0,0.0,0.0,0.0,0.5682,0.0,2.841,0.0,0.0,0.00元,0.0,0.0
2025-02-01T13:00:00,2025-02-01T13:10:00,2025-02-01,78,0.0,0.0,0.0,0.0,0.0,0.8279,0.0,4.1395,0.0,0.0,0.00元,0.0,0.0
2025-02-01T13:10:00,2025-02-01T13:20:00,2025-02-01,79,0.0,0.0,0.0,0.0,0.0,0.8636,0.0,4.3180000000000005,0.0,0.0,0.00元,0.0,0.0
2025-02-01T13:20:00,2025-02-01T13:30:00,2025-02-01,80,0.0,0.0,0.0,0.0,0.0,0.8416,0.0,4.208,0.0,0.0,0.00元,0.0,0.0
2025-02-01T13:30:00,2025-02-01T13:40:00,2025-02-01,81,0.0,0.0,0.0,0.0,0.0,0.8618,0.0,4.309,0.0,0.0,0.00元,0.0,0.0
2025-02-01T13:40:00,2025-02-01T13:50:00,2025-02-01,82,0.0,0.0,0.0,0.0,0.0,0.8623,0.0,4.3115,0.0,0.0,0.00元,0.0,0.0
2025-02-01T13:50:00,2025-02-01T14:00:00,2025-02-01,83,0.0,0.0,0.0,0.0,0.0,0.9026,0.0,4.513,0.0,0.0,0.00元,0.0,0.0
2025-02-01T14:00:00,2025-02-01T14:10:00,2025-02-01,84,0.0,0.0,0.0,0.0,0.0,0.9754,0.0,4.877000000000001,0.0,0.0,0.00元,0.0,0.0
2025-02-01T14:10:00,2025-02-01T14:20:00,2025-02-01,85,0.0,0.0,0.0,0.0,0.0,1.0002,0.0,5.0009999999999994,0.0,0.0,0.00元,0.0,0.0
2025-02-01T14:20:00,2025-02-01T14:30:00,2025-02-01,86,0.0,0.0,0.0,0.0,0.0,0.9978,0.0,4.989,0.0,0.0,0.00元,0.0,0.0
2025-02-01T14:30:00,2025-02-01T14:40:00,2025-02-01,87,0.0,0.0,0.0,0.0,0.0,1.0271,0.0,5.1354999999999995,0.0,0.0,0.00元,0.0,0.0
2025-02-01T14:40:00,2025-02-01T14:50:00,2025-02-01,88,0.0,0.0,0.0,0.0,0.0,1.0906,0.0,5.453,0.0,0.0,0.00元,0.0,0.0
2025-02-01T14:50:00,2025-02-01T15:00:00,2025-02-01,89,0.0,0.0,0.0,0.0,0.0,0.9376,0.0,4.688,0.0,0.0,0.00元,0.0,0.0
2025-02-01T15:00:00,2025-02-01T15:10:00,2025-02-01,90,0.0,0.0,0.0,0.0,0.0,0.6694,0.0,3.347,0.0,0.0,0.00元,0.0,0.0
