window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day_partial_0010,2025-01-01,80394.365395,0.000000,18061.621037,98455.986432,57977.317260,0.000000,124344.718121,0.000000,182322.035381,,
natural_day,2025-01-02,97700.125084,0.000000,1669.698037,99369.823121,75224.352861,0.000000,11594.801296,0.000000,86819.154156,,
natural_day,2025-01-03,95216.646836,0.000000,0.000000,95216.646836,56143.662902,0.000000,0.000000,0.000000,56143.662902,,
natural_day,2025-01-04,75824.071557,0.000000,0.000000,75824.071557,42030.779042,0.000000,0.000000,0.000000,42030.779042,,
natural_day,2025-01-05,68828.964818,0.000000,22092.987348,90921.952166,48734.737677,0.000000,150400.311958,0.000000,199135.049636,,
natural_day,2025-01-06,81663.814394,0.000000,16969.971881,98633.786275,57882.358082,0.000000,119611.243715,0.000000,177493.601797,,
natural_day,2025-01-07,77427.792671,0.000000,17383.950090,94811.742761,56768.853909,0.000000,120666.122932,0.000000,177434.976840,,
natural_day,2025-01-08,101173.291546,0.000000,1979.857387,103153.148932,78864.033874,0.000000,13527.942692,0.000000,92391.976567,,
natural_day,2025-01-09,94578.905929,0.000000,2491.023534,97069.929464,72958.544635,0.000000,16795.824889,0.000000,89754.369523,,
natural_day,2025-01-10,53020.459024,0.000000,5.369356,53025.828380,24548.121051,0.000000,17.689345,0.000000,24565.810396,,
natural_day,2025-01-11,48858.867680,0.000000,1566.293702,50425.161382,22518.850448,0.000000,10500.566738,0.000000,33019.417186,,
natural_day,2025-01-12,96434.948726,0.000000,1985.936838,98420.885565,74745.873564,0.000000,13897.725179,0.000000,88643.598743,,
natural_day,2025-01-13,95777.621945,0.000000,859.753084,96637.375029,73559.034138,0.000000,5746.451697,0.000000,79305.485835,,
natural_day,2025-01-14,95282.913849,0.000000,1655.250829,96938.164678,72512.635859,0.000000,10833.631833,0.000000,83346.267693,,
natural_day,2025-01-15,92712.719481,0.000000,3163.589544,95876.309024,70849.465221,0.000000,22359.498717,0.000000,93208.963938,,
natural_day,2025-01-16,91803.370205,0.000000,2940.299620,94743.669825,69566.503547,0.000000,19781.609416,0.000000,89348.112962,,
natural_day,2025-01-17,46937.386950,0.000000,520.883197,47458.270147,21978.915872,0.000000,2988.978068,0.000000,24967.893940,,
natural_day,2025-01-18,50035.097047,0.000000,0.000000,50035.097047,23180.275811,0.000000,0.000000,0.000000,23180.275811,,
natural_day,2025-01-19,91851.063069,0.000000,3142.026876,94993.089945,69410.477974,0.000000,21934.809270,0.000000,91345.287245,,
