abs_minute,interval_start,spill_kwh,grid_paid_kwh,demand_kwh,soc_start_kwh,soc_end_kwh,charge_kwh,capacity_limited,power_limited
1330,2025-01-01 22:10:00,0.6057666766667956,1384.8989000000001,550.9598,1949.9612850021113,2699.9612849921114,749.99999999,False,True
1370,2025-01-01 22:50:00,2.4027666766667073,1400.0807666666667,564.3446666666666,4142.063934244482,4892.063934234482,749.99999999,False,True
1380,2025-01-01 23:00:00,18.208766676666635,1399.8737666666666,548.3316666666666,4892.063934234482,5642.063934224482,749.99999999,False,True
1500,2025-01-02 01:00:00,23.81166667666684,1464.5016666666668,607.3566666666666,8261.766628114927,9011.766628104926,749.99999999,False,True
1530,2025-01-02 01:30:00,5.5833333433332575,1469.5466666666666,630.63,9034.677253086926,9784.677253076925,749.99999999,False,True
2460,2025-01-02 17:00:00,2.008062717318615,1064.8433333333335,1052.9583333333333,10791.110756436587,10799.999999991,8.889243554413401,True,False
2470,2025-01-02 17:10:00,18.242466658566492,1054.1972166666667,1035.9547499999999,10799.999999991,10799.999999991,0.0,True,False
2480,2025-01-02 17:20:00,5.396266658566425,1028.2455666666667,1022.8493,10799.999999991,10799.999999991,0.0,True,False
2490,2025-01-02 17:30:00,1.1266666585664553,1031.9983333333332,1030.8716666666664,10799.999999991,10799.999999991,0.0,True,False
2500,2025-01-02 17:40:00,31.418916658566424,1077.4177833333333,1045.9988666666666,10799.999999991,10799.999999991,0.0,True,False
2510,2025-01-02 17:50:00,2.441066658566319,960.6718166666666,958.23075,10799.999999991,10799.999999991,0.0,True,False
2870,2025-01-02 23:50:00,44.8186833433333,1449.5190166666666,571.367,6343.386704514025,7093.386704504025,749.99999999,False,True
2880,2025-01-03 00:00:00,129.5966666766667,1449.45,486.52,7093.386704504025,7843.386704494025,749.99999999,False,True
2890,2025-01-03 00:10:00,103.63155834333348,1429.3567083333335,492.3918166666666,7843.386704494025,8593.386704484024,749.99999999,False,True
2900,2025-01-03 00:20:00,61.04833389441762,1387.8167005510843,493.4350333333333,8593.386704484024,9343.386704475024,749.999999991,False,True
2930,2025-01-03 00:50:00,158.99984167666662,1432.2888583333333,439.95568333333335,9623.346171957024,10373.346171947023,749.99999999,False,True
2970,2025-01-03 01:30:00,956.3705660333578,1466.755,509.47,10799.177009420022,10799.99999999,0.8229905699780681,True,False
2980,2025-01-03 01:40:00,132.776341657666,620.0332083333334,487.25686666666667,10799.99999999,10799.99999999,0.0,True,False
2990,2025-01-03 01:50:00,148.46587499099937,638.5750916666667,490.1092166666666,10799.99999999,10799.99999999,0.0,True,False
3000,2025-01-03 02:00:00,154.75666665766593,662.625,507.86833333333334,10799.99999999,10799.99999999,0.0,True,False
3010,2025-01-03 02:10:00,139.56780832433256,639.6717583333333,500.10395,10799.99999999,10799.99999999,0.0,True,False
3020,2025-01-03 02:20:00,171.29838332433255,648.0529666666666,476.75458333333336,10799.99999999,10799.99999999,0.0,True,False
3030,2025-01-03 02:30:00,224.19999999099932,690.8833333333333,466.6833333333333,10799.99999999,10799.99999999,0.0,True,False
3040,2025-01-03 02:40:00,197.36440832433263,689.5797916666667,492.2153833333333,10799.99999999,10799.99999999,0.0,True,False
3050,2025-01-03 02:50:00,145.1929083243327,672.0272583333334,526.83435,10799.99999999,10799.99999999,0.0,True,False
3060,2025-01-03 03:00:00,119.46916665766591,668.4691666666666,549.0,10799.99999999,10799.99999999,0.0,True,False
3070,2025-01-03 03:10:00,121.74255832433252,679.5317249999999,557.7891666666667,10799.99999999,10799.99999999,0.0,True,False
3080,2025-01-03 03:20:00,124.42386665766591,689.52015,565.0962833333333,10799.99999999,10799.99999999,0.0,True,False
3090,2025-01-03 03:30:00,115.58833332433264,686.6916666666666,571.1033333333332,10799.99999999,10799.99999999,0.0,True,False
3100,2025-01-03 03:40:00,111.69284999099918,674.3395999999999,562.64675,10799.99999999,10799.99999999,0.0,True,False
3110,2025-01-03 03:50:00,148.8026249909992,682.8375583333333,534.0349333333334,10799.99999999,10799.99999999,0.0,True,False
3120,2025-01-03 04:00:00,176.6674999909994,702.5241666666667,525.8566666666666,10799.99999999,10799.99999999,0.0,True,False
3130,2025-01-03 04:10:00,117.36101665766577,695.7517333333332,578.3907166666667,10799.99999999,10799.99999999,0.0,True,False
3140,2025-01-03 04:20:00,135.67854999099936,697.5829833333333,561.9044333333333,10799.99999999,10799.99999999,0.0,True,False
3150,2025-01-03 04:30:00,220.2483333243326,711.1783333333333,490.92999999999995,10799.99999999,10799.99999999,0.0,True,False
3160,2025-01-03 04:40:00,190.5246333243327,703.0214500000001,512.4968166666666,10799.99999999,10799.99999999,0.0,True,False
3170,2025-01-03 04:50:00,137.12662499099937,694.2704583333334,557.1438333333333,10799.99999999,10799.99999999,0.0,True,False
3180,2025-01-03 05:00:00,140.81249999099916,697.7374999999998,556.925,10799.99999999,10799.99999999,0.0,True,False
3190,2025-01-03 05:10:00,184.1919416576661,705.9313416666668,521.7393999999999,10799.99999999,10799.99999999,0.0,True,False
3200,2025-01-03 05:20:00,181.9922083243326,719.3859916666667,537.3937833333333,10799.99999999,10799.99999999,0.0,True,False
3210,2025-01-03 05:30:00,115.83499999099942,717.1433333333334,601.3083333333333,10799.99999999,10799.99999999,0.0,True,False
3220,2025-01-03 05:40:00,67.63111665766604,689.9143,622.2831833333332,10799.99999999,10799.99999999,0.0,True,False
3230,2025-01-03 05:50:00,177.75985832433273,761.6551583333334,583.8952999999999,10799.99999999,10799.99999999,0.0,True,False
3240,2025-01-03 06:00:00,354.0689666576661,896.8656333333334,542.7966666666666,10799.99999999,10799.99999999,0.0,True,False
3250,2025-01-03 06:10:00,359.88481665766597,930.0931499999999,570.2083333333333,10799.99999999,10799.99999999,0.0,True,False
3260,2025-01-03 06:20:00,329.531591657666,916.1416416666667,586.61005,10799.99999999,10799.99999999,0.0,True,False
3270,2025-01-03 06:30:00,348.9247999909992,909.9081333333332,560.9833333333333,10799.99999999,10799.99999999,0.0,True,False
3280,2025-01-03 06:40:00,361.851741657666,907.5327416666667,545.6809999999999,10799.99999999,10799.99999999,0.0,True,False
3290,2025-01-03 06:50:00,332.0899416576659,909.1182583333332,577.0283166666666,10799.99999999,10799.99999999,0.0,True,False
3300,2025-01-03 07:00:00,31.00226665766604,662.2039333333333,631.2016666666666,10799.99999999,10799.99999999,0.0,True,False
3310,2025-01-03 07:10:00,17.20260832433269,666.3796416666667,649.1770333333333,10799.99999999,10799.99999999,0.0,True,False
3320,2025-01-03 07:20:00,28.49917499099943,679.3253916666667,650.8262166666666,10799.99999999,10799.99999999,0.0,True,False
3330,2025-01-03 07:30:00,15.561433324332674,667.8831,652.3216666666666,10799.99999999,10799.99999999,0.0,True,False
3350,2025-01-03 07:50:00,37.438852480368844,732.8006833333332,653.0534666666666,10761.922472223332,10799.999999991,38.07752776766792,True,False
3780,2025-01-03 15:00:00,188.3003833433337,1655.0903833333332,633.4566666666666,7060.8226758625915,7810.822675852592,749.99999999,False,True
3790,2025-01-03 15:10:00,244.25834167666665,1685.9478916666667,608.3562166666666,7810.822675852592,8560.822675842592,749.99999999,False,True
3810,2025-01-03 15:30:00,173.1495500100001,1649.9712166666668,643.4883333333332,9290.42891999,10040.428919981,749.999999991,False,True
3820,2025-01-03 15:40:00,199.52340834333302,1655.5480416666664,622.6913,10040.428919981,10790.428919970998,749.99999999,False,True
3830,2025-01-03 15:50:00,198.86466664555388,826.1638166666669,616.6646166666667,10790.428919970998,10799.99999999,9.571080019001677,True,False
3840,2025-01-03 16:00:00,419.8561499909994,1056.0561500000001,636.1999999999999,10799.99999999,10799.99999999,0.0,True,False
3850,2025-01-03 16:10:00,435.5485499909994,1060.8739,625.32535,10799.99999999,10799.99999999,0.0,True,False
3860,2025-01-03 16:20:00,468.6285666576663,1057.4883000000002,588.8597333333332,10799.99999999,10799.99999999,0.0,True,False
3870,2025-01-03 16:30:00,474.757816657666,1042.4678166666667,567.71,10799.99999999,10799.99999999,0.0,True,False
3880,2025-01-03 16:40:00,450.2719666576659,1040.9655666666665,590.6936,10799.99999999,10799.99999999,0.0,True,False
3890,2025-01-03 16:50:00,486.88400832433274,1051.139275,564.2552666666666,10799.99999999,10799.99999999,0.0,True,False
3900,2025-01-03 17:00:00,559.4774999909994,1058.9008333333334,499.4233333333333,10799.99999999,10799.99999999,0.0,True,False
3910,2025-01-03 17:10:00,545.9934999909993,1045.0759833333334,499.08248333333336,10799.99999999,10799.99999999,0.0,True,False
3920,2025-01-03 17:20:00,529.4132666576662,1025.5474333333334,496.1341666666666,10799.99999999,10799.99999999,0.0,True,False
3930,2025-01-03 17:30:00,556.8983333243326,1031.435,474.53666666666663,10799.99999999,10799.99999999,0.0,True,False
3940,2025-01-03 17:40:00,573.2284583243326,1061.7083249999998,488.4798666666666,10799.99999999,10799.99999999,0.0,True,False
3950,2025-01-03 17:50:00,464.32741665766594,959.4512833333333,495.12386666666663,10799.99999999,10799.99999999,0.0,True,False
3960,2025-01-03 18:00:00,303.0566666576659,779.5616666666666,476.505,10799.99999999,10799.99999999,0.0,True,False
3970,2025-01-03 18:10:00,284.793366657666,746.1044666666667,461.31109999999995,10799.99999999,10799.99999999,0.0,True,False
3980,2025-01-03 18:20:00,297.8495833243326,760.96805,463.1184666666666,10799.99999999,10799.99999999,0.0,True,False
3990,2025-01-03 18:30:00,281.7333333243327,750.0466666666667,468.31333333333333,10799.99999999,10799.99999999,0.0,True,False
4000,2025-01-03 18:40:00,289.9826749909994,741.9776416666667,451.99496666666664,10799.99999999,10799.99999999,0.0,True,False
