开始时间,日初计划_kWh,保留原计划_kWh,调整增购_kWh,调整后普通购电_kWh,紧急购电_kWh,实际外网总购电_kWh,实际电价_元每kWh,原计划执行费_元,调整增购费_元,紧急购电费_元,本时刻调减违约费_元,本段总费用_元,电费标签,段初SOC_kWh,段末SOC_kWh,弃购电_kWh
2025-02-01T00:10:00,438.81306766760304,438.81306766760304,0.0,438.81306766760304,0.0,438.81306766760304,0.3281,143.97456750174055,0.0,0.0,0.0,143.97456750174055,143.97元,7340.11849163144,7355.222922523282,0.0
2025-02-01T00:20:00,697.2880464741784,697.2880464741784,0.0,697.2880464741784,0.0,697.2880464741784,0.3257,227.1067167366399,0.0,0.0,0.0,227.1067167366399,227.11元,7355.222922523282,7608.915579341043,0.0
2025-02-01T00:30:00,1269.9656923815382,1269.9656923815382,0.0,1269.9656923815382,0.0,1269.9656923815382,0.3041,386.19656705322575,0.0,0.0,0.0,386.19656705322575,386.20元,7608.915579341043,8358.915579331042,25.91569239153818
2025-02-01T00:40:00,1290.836306523816,1290.836306523816,0.0,1290.836306523816,0.0,1290.836306523816,0.3126,403.51542941934485,0.0,0.0,0.0,403.51542941934485,403.52元,8358.915579331042,9108.915579322042,27.208173200482626
2025-02-01T00:50:00,485.54860077995323,485.54860077995323,0.0,485.54860077995323,0.0,485.54860077995323,0.3286,159.55127021629264,0.0,0.0,0.0,159.55127021629264,159.55元,9108.915579322042,9163.939795015,0.0
2025-02-01T01:00:00,505.06419381663267,505.06419381663267,0.0,505.06419381663267,0.0,505.06419381663267,0.3438,173.64106983415832,0.0,0.0,0.0,173.64106983415832,173.64元,9163.939795015,9253.05106944097,0.0
2025-02-01T01:10:00,503.8444221816136,503.8444221816136,0.0,503.8444221816136,0.0,503.8444221816136,0.3704,186.6239739760697,0.0,0.0,0.0,186.6239739760697,186.62元,9253.05106944097,9313.435884395421,0.0
2025-02-01T01:20:00,468.86709789903483,468.86709789903483,0.0,468.86709789903483,0.0,468.86709789903483,0.3746,175.63761487297845,0.0,0.0,0.0,175.63761487297845,175.64元,9313.435884395421,9328.798357495552,0.0
2025-02-01T01:30:00,452.5262558182414,452.5262558182414,0.0,452.5262558182414,0.0,452.5262558182414,0.3606,163.18096784805783,0.0,0.0,0.0,163.18096784805783,163.18元,9328.798357495552,9334.59998772297,0.0
2025-02-01T01:40:00,498.7682813476919,498.7682813476919,0.0,498.7682813476919,0.0,498.7682813476919,0.3582,178.65879837874326,0.0,0.0,0.0,178.65879837874326,178.66元,9334.59998772297,9358.901740926893,0.0
2025-02-01T01:50:00,509.4569514817698,509.4569514817698,0.0,509.4569514817698,0.0,509.4569514817698,0.3041,154.9258589456062,0.0,0.0,0.0,154.9258589456062,154.93元,9358.901740926893,9414.189627251486,0.0
2025-02-01T02:00:00,486.73893368586994,486.73893368586994,0.0,486.73893368586994,0.0,486.73893368586994,0.2537,123.48566747610519,0.0,0.0,0.0,123.48566747610519,123.49元,9414.189627251486,9494.59166755977,0.0
2025-02-01T02:10:00,516.491094344172,516.491094344172,0.0,516.491094344172,0.0,516.491094344172,0.3346,172.81792016755995,0.0,0.0,0.0,172.81792016755995,172.82元,9494.59166755977,9568.752082460524,0.0
2025-02-01T02:20:00,537.1289840473856,537.1289840473856,0.0,537.1289840473856,0.0,537.1289840473856,0.3971,213.29391956521684,0.0,0.0,0.0,213.29391956521684,213.29元,9568.752082460524,9610.663343094171,0.0
2025-02-01T02:30:00,533.593524234637,533.593524234637,0.0,533.593524234637,0.0,533.593524234637,0.367,195.8288233941118,0.0,0.0,0.0,195.8288233941118,195.83元,9610.663343094171,9637.999514896344,0.0
2025-02-01T02:40:00,533.3871204827365,533.3871204827365,0.0,533.3871204827365,0.0,533.3871204827365,0.3185,169.88379787375158,0.0,0.0,0.0,169.88379787375158,169.88元,9637.999514896344,9691.382388321807,0.0
2025-02-01T02:50:00,530.8814210559186,530.8814210559186,0.0,530.8814210559186,0.0,530.8814210559186,0.3285,174.39454681686928,0.0,0.0,0.0,174.39454681686928,174.39元,9691.382388321807,9753.929707263133,0.0
2025-02-01T03:00:00,519.490794025353,519.490794025353,0.0,519.490794025353,0.0,519.490794025353,0.3772,195.95192750636315,0.0,0.0,0.0,195.95192750636315,195.95元,9753.929707263133,9792.22392187695,0.0
2025-02-01T03:10:00,537.5208869325054,537.5208869325054,0.0,537.5208869325054,0.0,537.5208869325054,0.3815,205.06421836475081,0.0,0.0,0.0,205.06421836475081,205.06元,9792.22392187695,9840.933125107205,0.0
2025-02-01T03:20:00,514.0061845465967,514.0061845465967,0.0,514.0061845465967,0.0,514.0061845465967,0.3822,196.45316373370926,0.0,0.0,0.0,196.45316373370926,196.45元,9840.933125107205,9865.596966190142,0.0
2025-02-01T03:30:00,530.5229655529379,530.5229655529379,0.0,530.5229655529379,0.0,530.5229655529379,0.3962,210.19319895207397,0.0,0.0,0.0,210.19319895207397,210.19元,9865.596966190142,9894.104135178786,0.0
2025-02-01T03:40:00,499.02232561722235,499.02232561722235,0.0,499.02232561722235,0.0,499.02232561722235,0.3879,193.57076010692057,0.0,0.0,0.0,193.57076010692057,193.57元,9894.104135178786,9872.673682171997,0.0
2025-02-01T03:50:00,509.47473657506293,509.47473657506293,0.0,509.47473657506293,0.0,509.47473657506293,0.3405,173.47614780380894,0.0,0.0,0.0,173.47614780380894,173.48元,9872.673682171997,9872.980825080553,0.0
2025-02-01T04:00:00,527.2687994535693,527.2687994535693,0.0,527.2687994535693,0.0,527.2687994535693,0.3164,166.82784814710934,0.0,0.0,0.0,166.82784814710934,166.83元,9872.980825080553,9912.267744579765,0.0
2025-02-01T04:10:00,519.4628758004685,519.4628758004685,0.0,519.4628758004685,0.0,519.4628758004685,0.3916,203.42166216346348,0.0,0.0,0.0,203.42166216346348,203.42元,9912.267744579765,9937.716212791187,0.0
2025-02-01T04:20:00,514.8992048382323,514.8992048382323,0.0,514.8992048382323,0.0,514.8992048382323,0.4109,211.57208326802964,0.0,0.0,0.0,211.57208326802964,211.57元,9937.716212791187,9946.944742136597,0.0
