abs_minute,interval_start,spill_kwh,grid_paid_kwh,demand_kwh,soc_start_kwh,soc_end_kwh,charge_kwh,capacity_limited,power_limited
1330,2025-01-01 22:10:00,0.6057666766667956,1384.8989000000001,550.9598,2165.8801604391115,2915.8801604291116,749.99999999,False,True
1370,2025-01-01 22:50:00,2.4027666766667073,1400.0807666666667,564.3446666666666,4411.217039902112,5161.217039892113,749.99999999,False,True
1380,2025-01-01 23:00:00,18.208766676666635,1399.8737666666666,548.3316666666666,5161.217039892113,5911.217039882113,749.99999999,False,True
1500,2025-01-02 01:00:00,23.81166667666684,1464.5016666666668,607.3566666666666,8969.404181729153,9719.404181720152,749.999999991,False,True
1530,2025-01-02 01:30:00,5.5833333433332575,1469.5466666666666,630.63,9859.572178202154,10609.572178193153,749.999999991,False,True
1540,2025-01-02 01:40:00,510.99212104345946,1373.8094063744002,651.2308166666667,10609.572178193153,10799.999999991,190.42782179784663,True,False
1550,2025-01-02 01:50:00,15.981271658566333,677.3545716666666,661.3733,10799.999999991,10799.999999991,0.0,True,False
1560,2025-01-02 02:00:00,97.40549999189975,745.2005,647.795,10799.999999991,10799.999999991,0.0,True,False
1570,2025-01-02 02:10:00,54.39133332523293,698.6230166666666,644.2316833333333,10799.999999991,10799.999999991,0.0,True,False
1580,2025-01-02 02:20:00,49.62639165856647,704.9074083333334,655.2810166666666,10799.999999991,10799.999999991,0.0,True,False
1590,2025-01-02 02:30:00,100.3503333252331,776.3470000000001,675.9966666666667,10799.999999991,10799.999999991,0.0,True,False
1600,2025-01-02 02:40:00,59.3318416585664,753.4955083333333,694.1636666666666,10799.999999991,10799.999999991,0.0,True,False
1610,2025-01-02 02:50:00,54.85855832523291,732.7639916666666,677.9054333333333,10799.999999991,10799.999999991,0.0,True,False
1620,2025-01-02 03:00:00,98.82816665856635,752.0681666666667,653.24,10799.999999991,10799.999999991,0.0,True,False
1630,2025-01-02 03:10:00,71.05674499189976,749.1105783333334,678.0538333333333,10799.999999991,10799.999999991,0.0,True,False
1640,2025-01-02 03:20:00,67.77660999189979,757.8564766666667,690.0798666666666,10799.999999991,10799.999999991,0.0,True,False
