window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day_partial_0010,2025-01-01,70885.531303,9502.581529,16569.063089,96957.175921,49288.273879,21131.931849,103858.319465,1133.042969,175411.568162,,
natural_day,2025-01-02,108475.677115,3549.115767,0.000000,112024.792883,85529.009006,6205.949156,0.000000,45.496547,91780.454708,,
natural_day,2025-01-03,104297.999335,21560.805114,0.000000,125858.804449,64748.191079,28268.619491,0.000000,1103.864194,94120.674764,,
natural_day,2025-01-04,86586.925274,22733.476896,0.000000,109320.402170,50255.528092,28098.757141,0.000000,1289.178582,79643.463815,,
natural_day,2025-01-05,80547.095934,31209.951450,1720.488210,113477.535594,59182.985953,50311.519925,12149.875958,0.000000,121644.381836,,
natural_day,2025-01-06,89980.332995,29584.278368,983.794898,120548.406261,66225.438870,49088.295405,7145.749841,0.000000,122459.484116,,
natural_day,2025-01-07,102381.023911,20432.601861,10.097700,122823.723472,80345.351046,34161.841613,66.670061,127.682589,114701.545309,,
natural_day,2025-01-08,115694.804218,17577.154962,0.000000,133271.959180,93841.730837,28796.624763,0.000000,343.930341,122982.285941,,
natural_day,2025-01-09,114426.746114,18983.220641,0.000000,133409.966755,93451.010493,31286.120543,0.000000,158.759141,124895.890177,,
natural_day,2025-01-10,68534.170807,20438.343058,0.000000,88972.513865,36520.514765,23763.178427,0.000000,193.723495,60477.416687,,
natural_day,2025-01-11,69009.095605,20536.951263,0.000000,89546.046869,37018.343100,24240.657630,0.000000,213.850371,61472.851101,,
natural_day,2025-01-12,115711.797290,18734.026982,0.000000,134445.824272,94359.489479,31483.473913,0.000000,583.162864,126426.126256,,
natural_day,2025-01-13,114926.370551,18610.337700,0.000000,133536.708252,92796.249746,30242.734940,0.000000,281.913498,123320.898184,,
natural_day,2025-01-14,115561.686016,18621.316265,0.000000,134183.002281,93030.744717,30609.102013,0.000000,179.574832,123819.421562,,
result_row,2025-01-08,115662.196438,17577.154962,0.000000,133239.351400,93800.282484,28796.624763,0.000000,343.930341,122940.837588,,
result_row,2025-01-09,114300.198081,18983.220641,0.000000,133283.418721,93323.844484,31286.120543,0.000000,158.759141,124768.724168,,
result_row,2025-01-10,68518.632915,20438.343058,0.000000,88956.975973,36509.305610,23763.178427,0.000000,193.723495,60466.207532,,
result_row,2025-01-11,69139.380222,20536.951263,0.000000,89676.331485,37160.512341,24240.657630,0.000000,213.850371,61615.020342,,
result_row,2025-01-12,115724.662023,18734.026982,0.000000,134458.689005,94341.100891,31483.473913,0.000000,583.162864,126407.737668,,
result_row,2025-01-13,114907.526868,18610.337700,0.000000,133517.864569,92788.814118,30242.734940,0.000000,281.913498,123313.462556,,
result_row,2025-01-14,115594.218291,18621.316265,0.000000,134215.534556,93049.969618,30609.102013,0.000000,179.574832,123838.646463,,
