abs_minute,interval_start,spill_kwh,grid_paid_kwh,demand_kwh,soc_start_kwh,soc_end_kwh,charge_kwh,capacity_limited,power_limited
1370,2025-01-01 22:50:00,2.4027666766667073,1400.0807666666667,564.3446666666666,2936.2278622358117,3686.227862225812,749.99999999,False,True
1380,2025-01-01 23:00:00,18.208766676666635,1399.8737666666666,548.3316666666666,3686.227862225812,4436.227862215812,749.99999999,False,True
1530,2025-01-02 01:30:00,5.5833333433332575,1469.5466666666666,630.63,7038.266179415858,7788.266179405858,749.99999999,False,True
1780,2025-01-02 05:40:00,3.045416676666597,1524.76785,688.3891,8874.20692219682,9624.206922186819,749.99999999,False,True
2870,2025-01-02 23:50:00,44.8186833433333,1449.5190166666666,571.367,4915.094919663173,5665.094919653173,749.99999999,False,True
2900,2025-01-03 00:20:00,96.09306638344843,1422.8614330401151,493.4350333333333,5875.0003221351735,6625.000322126173,749.999999991,False,True
2930,2025-01-03 00:50:00,158.99984167666662,1432.2888583333333,439.95568333333335,6938.0256629331725,7688.025662923173,749.99999999,False,True
2940,2025-01-03 01:00:00,188.63583334333327,1452.5958333333333,430.62666666666667,7688.025662923173,8438.025662913173,749.99999999,False,True
2970,2025-01-03 01:30:00,123.9516666766667,1466.755,509.47,8728.917802470172,9478.917802461172,749.999999991,False,True
3050,2025-01-03 02:50:00,3.596735480190026,692.1880760833334,526.83435,10654.418708448171,10799.999999991,145.58129154282904,True,False
3060,2025-01-03 03:00:00,139.5232416585662,688.5232416666665,549.0,10799.999999991,10799.999999991,0.0,True,False
3070,2025-01-03 03:10:00,142.12851007523304,699.91767675,557.7891666666667,10799.999999991,10799.999999991,0.0,True,False
3080,2025-01-03 03:20:00,145.10947115856638,710.2057545,565.0962833333333,10799.999999991,10799.999999991,0.0,True,False
3090,2025-01-03 03:30:00,136.1890833252331,707.2924166666667,571.1033333333332,10799.999999991,10799.999999991,0.0,True,False
3100,2025-01-03 03:40:00,131.92303799189958,694.5697879999999,562.64675,10799.999999991,10799.999999991,0.0,True,False
3110,2025-01-03 03:50:00,169.28775174189954,703.3226850833332,534.0349333333334,10799.999999991,10799.999999991,0.0,True,False
3120,2025-01-03 04:00:00,197.74322499189984,723.5998916666667,525.8566666666666,10799.999999991,10799.999999991,0.0,True,False
3130,2025-01-03 04:10:00,138.2335686585662,716.6242853333332,578.3907166666667,10799.999999991,10799.999999991,0.0,True,False
3140,2025-01-03 04:20:00,156.60603949189974,718.5104728333333,561.9044333333333,10799.999999991,10799.999999991,0.0,True,False
3150,2025-01-03 04:30:00,241.58368332523307,732.5136833333333,490.92999999999995,10799.999999991,10799.999999991,0.0,True,False
3160,2025-01-03 04:40:00,211.61527682523305,724.1120935,512.4968166666666,10799.999999991,10799.999999991,0.0,True,False
3170,2025-01-03 04:50:00,157.95473874189983,715.0985720833335,557.1438333333333,10799.999999991,10799.999999991,0.0,True,False
3180,2025-01-03 05:00:00,161.74462499189949,718.6696249999998,556.925,10799.999999991,10799.999999991,0.0,True,False
3190,2025-01-03 05:10:00,205.36952357523316,727.1089235833334,521.7393999999999,10799.999999991,10799.999999991,0.0,True,False
3200,2025-01-03 05:20:00,203.57378807523295,740.9675714166666,537.3937833333333,10799.999999991,10799.999999991,0.0,True,False
3210,2025-01-03 05:30:00,137.34929999189987,738.6576333333335,601.3083333333333,10799.999999991,10799.999999991,0.0,True,False
3220,2025-01-03 05:40:00,793.7735849328188,1416.0567682742524,622.2831833333332,10799.999999991,10799.999999991,0.0,True,False
3230,2025-01-03 05:50:00,200.60951307523325,784.5048130833335,583.8952999999999,10799.999999991,10799.999999991,0.0,True,False
3240,2025-01-03 06:00:00,382.5699249918998,925.3665916666667,542.7966666666666,10799.999999991,10799.999999991,0.0,True,False
3250,2025-01-03 06:10:00,389.3122004918997,959.5205338333333,570.2083333333333,10799.999999991,10799.999999991,0.0,True,False
3260,2025-01-03 06:20:00,358.61083024189975,945.22088025,586.61005,10799.999999991,10799.999999991,0.0,True,False
3270,2025-01-03 06:30:00,377.81703332523284,938.8003666666665,560.9833333333333,10799.999999991,10799.999999991,0.0,True,False
3280,2025-01-03 06:40:00,389.69222990856645,935.3732299166667,545.6809999999999,10799.999999991,10799.999999991,0.0,True,False
3290,2025-01-03 06:50:00,360.9584787418996,937.9867954166665,577.0283166666666,10799.999999991,10799.999999991,0.0,True,False
3300,2025-01-03 07:00:00,309.9677333252331,941.1694,631.2016666666666,10799.999999991,10799.999999991,0.0,True,False
3310,2025-01-03 07:10:00,266.4065879085664,915.58362125,649.1770333333333,10799.999999991,10799.999999991,0.0,True,False
3320,2025-01-03 07:20:00,236.52781040856652,887.3540270833334,650.8262166666666,10799.999999991,10799.999999991,0.0,True,False
3330,2025-01-03 07:30:00,180.63477499189966,832.9564416666666,652.3216666666666,10799.999999991,10799.999999991,0.0,True,False
3340,2025-01-03 07:40:00,83.48215057523313,733.0272672500001,649.5451166666667,10799.999999991,10799.999999991,0.0,True,False
3350,2025-01-03 07:50:00,152.18826082523285,805.2417274999998,653.0534666666666,10799.999999991,10799.999999991,0.0,True,False
3800,2025-01-03 15:20:00,19.839558343333117,1471.2412416666666,618.06835,7606.611945332344,8356.611945322344,749.99999999,False,True
3810,2025-01-03 15:30:00,10.629375009999983,1487.4510416666667,643.4883333333332,8356.611945322344,9106.611945312343,749.9999999899999,False,True
3820,2025-01-03 15:40:00,91.66499167666653,1547.689625,622.6913,9106.611945312343,9856.611945302342,749.99999999,False,True
3870,2025-01-03 16:30:00,301.280020158579,953.5862833333329,567.71,10723.863363133722,10799.999999991,76.13663685727842,True,False
3880,2025-01-03 16:40:00,405.45658249189984,996.1501825,590.6936,10799.999999991,10799.999999991,0.0,True,False
3890,2025-01-03 16:50:00,487.39496874189956,1051.6502354166664,564.2552666666666,10799.999999991,10799.999999991,0.0,True,False
3900,2025-01-03 17:00:00,590.4413999919,1089.8647333333336,499.4233333333333,10799.999999991,10799.999999991,0.0,True,False
3910,2025-01-03 17:10:00,577.3457794918996,1076.4282628333333,499.08248333333336,10799.999999991,10799.999999991,0.0,True,False
3920,2025-01-03 17:20:00,559.1228229919001,1055.2569896666669,496.1341666666666,10799.999999991,10799.999999991,0.0,True,False
3930,2025-01-03 17:30:00,587.8413833252333,1062.3780500000003,474.53666666666663,10799.999999991,10799.999999991,0.0,True,False
3940,2025-01-03 17:40:00,605.0797080752326,1093.5595747499995,488.4798666666666,10799.999999991,10799.999999991,0.0,True,False
3950,2025-01-03 17:50:00,493.0350801585662,988.1589468333332,495.12386666666663,10799.999999991,10799.999999991,0.0,True,False
3960,2025-01-03 18:00:00,326.4435166585662,802.9485166666665,476.505,10799.999999991,10799.999999991,0.0,True,False
3970,2025-01-03 18:10:00,307.17650065856657,768.4876006666668,461.31109999999995,10799.999999991,10799.999999991,0.0,True,False
3980,2025-01-03 18:20:00,320.67317482523316,783.7916415000001,463.1184666666666,10799.999999991,10799.999999991,0.0,True,False
3990,2025-01-03 18:30:00,304.23473332523275,772.5480666666664,468.31333333333333,10799.999999991,10799.999999991,0.0,True,False
4000,2025-01-03 18:40:00,312.24200424189985,764.2369709166668,451.99496666666664,10799.999999991,10799.999999991,0.0,True,False
4010,2025-01-03 18:50:00,333.9011819085663,768.8144485833333,434.9132666666667,10799.999999991,10799.999999991,0.0,True,False
4230,2025-01-03 22:30:00,75.39138230011734,1319.068048956784,410.3433333333333,7144.139920413705,7894.139920404705,749.999999991,False,True
4290,2025-01-03 23:30:00,154.01833334333344,1435.5083333333334,448.15666666666664,9314.481904152231,10064.48190414223,749.99999999,False,True
4300,2025-01-03 23:40:00,174.3045129458119,1443.6099916666667,452.06315,10064.48190414223,10799.999999991,735.5180958487693,True,False
4310,2025-01-03 23:50:00,967.9235416585666,1427.1096750000002,459.18613333333326,10799.999999991,10799.999999991,0.0,True,False
4440,2025-01-04 02:00:00,45.69152501522472,611.0394444444444,473.23333333333335,10717.096872504702,10799.999999991,82.90312748629766,True,False
4450,2025-01-04 02:10:00,99.55443888078864,593.1491555555556,493.5947166666666,10799.999999991,10799.999999991,0.0,True,False
4460,2025-01-04 02:20:00,83.53540554745527,590.9535055555556,507.4181,10799.999999991,10799.999999991,0.0,True,False
4470,2025-01-04 02:30:00,113.22999999189969,616.15,502.91999999999996,10799.999999991,10799.999999991,0.0,True,False
4480,2025-01-04 02:40:00,109.05547221412186,623.7916555555555,514.7361833333333,10799.999999991,10799.999999991,0.0,True,False
4490,2025-01-04 02:50:00,100.14682221412201,623.6296222222223,523.4828,10799.999999991,10799.999999991,0.0,True,False
4500,2025-01-04 03:00:00,108.63611110301085,628.6461111111112,520.01,10799.999999991,10799.999999991,0.0,True,False
4510,2025-01-04 03:10:00,120.30057221412196,638.9508722222223,518.6503,10799.999999991,10799.999999991,0.0,True,False
4520,2025-01-04 03:20:00,118.96624443634411,648.0455277777777,529.0792833333333,10799.999999991,10799.999999991,0.0,True,False
4530,2025-01-04 03:30:00,111.02388888078858,648.1622222222222,537.1383333333333,10799.999999991,10799.999999991,0.0,True,False
4540,2025-01-04 03:40:00,113.65011665856636,637.10865,523.4585333333333,10799.999999991,10799.999999991,0.0,True,False
4550,2025-01-04 03:50:00,99.31708332523303,633.2366833333333,533.9196,10799.999999991,10799.999999991,0.0,True,False
4560,2025-01-04 04:00:00,92.69833332523305,643.635,550.9366666666666,10799.999999991,10799.999999991,0.0,True,False
4570,2025-01-04 04:10:00,142.80287776967734,656.6313944444444,513.8285166666667,10799.999999991,10799.999999991,0.0,True,False
4580,2025-01-04 04:20:00,147.42041665856627,652.3567999999999,504.9363833333333,10799.999999991,10799.999999991,0.0,True,False
4590,2025-01-04 04:30:00,101.08722221412197,637.7622222222222,536.675,10799.999999991,10799.999999991,0.0,True,False
4600,2025-01-04 04:40:00,99.47830554745528,639.513238888889,540.0349333333334,10799.999999991,10799.999999991,0.0,True,False
4610,2025-01-04 04:50:00,103.80814999189974,648.5615833333334,544.7534333333333,10799.999999991,10799.999999991,0.0,True,False
4620,2025-01-04 05:00:00,85.39666665856632,650.8,565.4033333333333,10799.999999991,10799.999999991,0.0,True,False
4630,2025-01-04 05:10:00,67.04331665856633,644.5336833333333,577.4903666666667,10799.999999991,10799.999999991,0.0,True,False
4640,2025-01-04 05:20:00,93.0913888807888,658.7219222222224,565.6305333333332,10799.999999991,10799.999999991,0.0,True,False
4650,2025-01-04 05:30:00,132.00499999189967,678.5316666666666,546.5266666666666,10799.999999991,10799.999999991,0.0,True,False
4660,2025-01-04 05:40:00,115.18422221412177,667.3657222222221,552.1814999999999,10799.999999991,10799.999999991,0.0,True,False
4670,2025-01-04 05:50:00,143.03105554745522,702.4018722222222,559.3708166666667,10799.999999991,10799.999999991,0.0,True,False
4680,2025-01-04 06:00:00,226.2249999918997,779.875,553.65,10799.999999991,10799.999999991,0.0,True,False
4690,2025-01-04 06:10:00,264.1638444363442,811.0960111111111,546.9321666666666,10799.999999991,10799.999999991,0.0,True,False
4700,2025-01-04 06:20:00,244.6203999918997,807.3301333333334,562.7097333333334,10799.999999991,10799.999999991,0.0,True,False
4710,2025-01-04 06:30:00,217.92055554745522,794.6322222222221,576.7116666666666,10799.999999991,10799.999999991,0.0,True,False
4720,2025-01-04 06:40:00,238.38341665856643,787.0023333333334,548.6189166666666,10799.999999991,10799.999999991,0.0,True,False
4730,2025-01-04 06:50:00,229.46898332523298,799.4539666666666,569.9849833333333,10799.999999991,10799.999999991,0.0,True,False
4740,2025-01-04 07:00:00,179.62138888078883,818.991388888889,639.3699999999999,10799.999999991,10799.999999991,0.0,True,False
4750,2025-01-04 07:10:00,139.37419999189976,797.9028166666667,658.5286166666666,10799.999999991,10799.999999991,0.0,True,False
4760,2025-01-04 07:20:00,118.51807221412203,765.3200722222223,646.8019999999999,10799.999999991,10799.999999991,0.0,True,False
4770,2025-01-04 07:30:00,89.45083332523298,715.2591666666666,625.8083333333333,10799.999999991,10799.999999991,0.0,True,False
4780,2025-01-04 07:40:00,34.64212221412189,633.8278055555554,599.1856833333333,10799.999999991,10799.999999991,0.0,True,False
5320,2025-01-04 16:40:00,1.821373126100915,841.2796298888892,604.4016666666666,10588.44906890449,10799.999999991,211.55093108650942,True,False
5330,2025-01-04 16:50:00,345.8951484918997,883.7045985,537.80945,10799.999999991,10799.999999991,0.0,True,False
5340,2025-01-04 17:00:00,425.59516665856654,897.5035000000001,471.9083333333333,10799.999999991,10799.999999991,0.0,True,False
5350,2025-01-04 17:10:00,409.7717944918997,888.9704945,479.1987,10799.999999991,10799.999999991,0.0,True,False
5360,2025-01-04 17:20:00,379.1346069918994,873.5236736666664,494.3890666666667,10799.999999991,10799.999999991,0.0,True,False
5370,2025-01-04 17:30:00,388.5112888807886,871.1762888888888,482.66499999999996,10799.999999991,10799.999999991,0.0,True,False
5380,2025-01-04 17:40:00,425.71813738078885,896.7511373888891,471.03299999999996,10799.999999991,10799.999999991,0.0,True,False
5390,2025-01-04 17:50:00,357.7248587696774,828.7421587777776,471.0173,10799.999999991,10799.999999991,0.0,True,False
5400,2025-01-04 18:00:00,223.03072776967767,698.8990611111113,475.86833333333334,10799.999999991,10799.999999991,0.0,True,False
5410,2025-01-04 18:10:00,194.91432810301077,670.7085447777778,475.79421666666667,10799.999999991,10799.999999991,0.0,True,False
5420,2025-01-04 18:20:00,180.9743678807886,681.5301178888889,500.55575,10799.999999991,10799.999999991,0.0,True,False
5430,2025-01-04 18:30:00,154.34462221412204,675.8196222222223,521.4749999999999,10799.999999991,10799.999999991,0.0,True,False
5440,2025-01-04 18:40:00,189.2559524918996,664.6762524999999,475.4203,10799.999999991,10799.999999991,0.0,True,False
5670,2025-01-04 22:30:00,111.02333334333342,1361.7033333333334,417.34666666666664,5248.49440600349,5998.494405993491,749.99999999,False,True
5680,2025-01-04 22:40:00,101.67718889888896,1366.3430555555556,431.3325333333333,5998.494405993491,6748.494405983491,749.99999999,False,True
5700,2025-01-04 23:00:00,114.56611112111112,1341.391111111111,393.4916666666666,6853.732033974491,7603.732033964491,749.99999999,False,True
5730,2025-01-04 23:30:00,94.6872222322222,1384.168888888889,456.1483333333333,7806.542261396491,8556.54226138649,749.99999999,False,True
5740,2025-01-04 23:40:00,140.88088889888888,1390.8721555555555,416.6579333333333,8556.54226138649,9306.54226137649,749.99999999,False,True
5750,2025-01-04 23:50:00,71.10057223222212,1382.2462722222222,477.81236666666666,9306.54226137649,10056.542261366489,749.9999999899999,False,True
10120,2025-01-08 00:40:00,18.99916667666661,1418.4385166666666,566.1060166666666,6599.2944283523375,7349.294428342338,749.99999999,False,True
10150,2025-01-08 01:10:00,28.609283343333225,1483.38675,621.4441333333333,7407.242724574337,8157.242724564338,749.99999999,False,True
10160,2025-01-08 01:20:00,55.354266676666604,1486.1396,597.452,8157.242724564338,8907.242724554337,749.99999999,False,True
11440,2025-01-08 22:40:00,56.29330001000016,1426.9213166666668,537.2946833333333,2271.1942760891015,3021.1942760791017,749.99999999,False,True
11450,2025-01-08 22:50:00,10.435750010000099,1397.678,553.9089166666666,3021.1942760791017,3771.1942760691018,749.99999999,False,True
11480,2025-01-08 23:20:00,81.5857000100002,1480.6033333333335,565.6842999999999,4556.4902144511025,5306.490214441103,749.99999999,False,True
12870,2025-01-09 22:30:00,35.4033866626886,1420.8733866526886,552.1366666666667,1908.1173943062545,2658.1173942962546,749.99999999,False,True
12880,2025-01-09 22:40:00,11.138571383733726,1429.2940380404004,584.8221333333333,2658.1173942962546,3408.1173942862547,749.99999999,False,True
12920,2025-01-09 23:20:00,37.04728871441886,1439.8679720377522,569.48735,4830.978061401842,5580.978061391842,749.99999999,False,True
12930,2025-01-09 23:30:00,9.314295371771316,1449.8792953617713,607.2316666666666,5580.978061391842,6330.978061381842,749.99999999,False,True
12940,2025-01-09 23:40:00,3.47566875544475,1461.3484854121114,624.5394833333332,6330.978061381842,7080.978061371842,749.99999999,False,True
13040,2025-01-10 01:20:00,32.26262695493539,1346.3254769449354,480.72951666666665,9213.044452054228,9963.044452044227,749.99999999,False,True
14330,2025-01-10 22:50:00,3.4354296649465743,1246.1557963216133,409.3870333333333,3218.538046646038,3968.538046636038,749.99999999,False,True
14340,2025-01-10 23:00:00,9.857532078277693,1255.000865401611,411.81,3968.538046636038,4718.538046626038,749.99999999,False,True
