window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day_partial_0010,2025-01-01,59264.916382,11034.645783,23381.998059,93681.560224,40140.889500,24148.590645,136736.020046,745.215244,201770.715435,,
natural_day,2025-01-02,96090.070897,543.102087,1046.870102,97680.043086,74864.673993,912.405619,6588.175329,0.000000,82365.254942,,
natural_day,2025-01-03,96027.777302,0.000000,0.000000,96027.777302,58333.808390,0.000000,0.000000,0.000000,58333.808390,,
natural_day,2025-01-04,75655.246744,0.000000,0.000000,75655.246744,43535.718261,0.000000,0.000000,0.000000,43535.718261,,
natural_day,2025-01-05,68401.212226,11714.617092,9482.521317,89598.350636,50068.904587,23105.797152,62749.040837,0.000000,135923.742576,,
natural_day,2025-01-06,79529.347304,8605.457730,7869.249877,96004.054911,57796.444334,16572.275641,53483.412385,0.000000,127852.132361,,
natural_day,2025-01-07,80642.787409,9551.919755,5854.597191,96049.304355,59707.237520,19171.982388,39102.421076,0.000000,117981.640984,,
natural_day,2025-01-08,95134.673571,962.211667,261.147651,96358.032889,73418.963361,1255.614952,1872.167119,123.208038,76669.953469,,
natural_day,2025-01-09,95612.192041,1167.068623,305.878670,97085.139334,74110.532944,1505.127894,2096.334563,18.204769,77730.200170,,
natural_day,2025-01-10,49580.630912,1044.652906,31.656743,50656.940561,22806.921873,1519.153859,72.196508,32.376756,24430.648996,,
natural_day,2025-01-11,49235.821846,469.204409,433.982921,50139.009176,22863.706024,325.844645,2216.655283,27.197320,25433.403271,,
natural_day,2025-01-12,95374.243725,1321.721495,68.036366,96764.001585,74274.601810,1539.175173,441.378502,88.741754,76343.897239,,
natural_day,2025-01-13,94875.320319,709.549744,0.362600,95585.232663,72992.755039,833.026528,2.774434,61.095676,73889.651677,,
natural_day,2025-01-14,95352.368098,718.616929,216.088791,96287.073817,73092.066114,826.302681,1367.271473,41.791635,75327.431903,,
result_row,2025-01-08,95180.240234,962.211667,261.147651,96403.599553,73416.266079,1255.614952,1872.167119,123.208038,76667.256188,,
result_row,2025-01-09,95485.644008,1167.068623,305.878670,96958.591301,73983.366935,1505.127894,2096.334563,18.204769,77603.034161,,
result_row,2025-01-10,49565.093020,1044.652906,31.656743,50641.402669,22795.712717,1519.153859,72.196508,32.376756,24419.439841,,
result_row,2025-01-11,49366.106463,469.204409,433.982921,50269.293793,23005.875264,325.844645,2216.655283,27.197320,25575.572512,,
result_row,2025-01-12,95387.108458,1321.721495,68.036366,96776.866319,74256.213221,1539.175173,441.378502,88.741754,76325.508651,,
result_row,2025-01-13,94856.476636,709.549744,0.362600,95566.388980,72985.319412,833.026528,2.774434,61.095676,73882.216050,,
result_row,2025-01-14,95384.900373,718.616929,216.088791,96319.606092,73111.291015,826.302681,1367.271473,41.791635,75346.656804,,
